duration,age,housing,balance,job,y
315,40,yes,4384,Employed,no
140,54,no,4080,Employed,no
346,34,yes,53,Employed,no
562,31,yes,0,Employed,no
172,51,yes,2127,Unemployed,no
217,33,yes,377,Employed,no
142,55,yes,73,Employed,no
67,42,yes,445,Employed,no
291,34,yes,243,Employed,no
309,33,yes,307,Employed,no
248,38,yes,155,Employed,no
98,50,no,173,Employed,no
256,43,yes,400,Employed,no
82,61,yes,1428,Employed,no
577,47,yes,219,Employed,no
286,48,yes,7,Employed,no
477,44,yes,575,Employed,no
611,35,yes,298,Unemployed,no
471,35,yes,0,Employed,no
381,50,yes,5699,Employed,no
42,41,yes,176,Employed,no
251,41,yes,517,Employed,no
408,39,yes,257,Employed,no
215,42,yes,56,Unemployed,no
287,38,yes,-390,Employed,no
216,53,yes,330,Unemployed,no
366,59,no,195,Employed,no
210,36,yes,301,Employed,no
288,54,yes,-41,Employed,no
168,40,yes,483,Employed,no
338,47,no,28,Unknown,no
410,53,no,13,Unemployed,no
177,46,no,965,Employed,no
127,39,yes,378,Employed,no
357,40,yes,219,Unemployed,no
175,28,yes,324,Employed,no
300,35,yes,-69,Employed,no
136,55,no,0,Unemployed,no
1419,43,yes,205,Employed,no
125,48,yes,278,Employed,no
213,58,yes,1065,Employed,no
27,33,yes,34,Employed,no
238,36,no,1033,Employed,no
124,53,yes,1467,Employed,no
18,47,yes,-12,Employed,no
730,31,yes,388,Employed,no
746,57,yes,294,Employed,no
121,53,no,1827,Employed,no
247,55,yes,627,Employed,no
40,45,yes,25,Employed,no
181,53,yes,315,Employed,no
79,37,yes,0,Employed,no
206,44,yes,66,Employed,no
389,49,yes,-9,Employed,no
127,46,yes,349,Employed,no
702,43,yes,100,Employed,no
151,38,no,0,Employed,no
117,43,yes,434,Employed,no
232,49,yes,3237,Employed,no
408,42,no,275,Employed,no
179,22,yes,0,Employed,no
39,40,yes,207,Employed,no
282,39,yes,483,Employed,no
714,51,yes,2248,Employed,no
50,49,yes,428,Employed,no
181,53,yes,0,Employed,no
142,34,yes,0,Employed,no
227,33,yes,140,Employed,no
119,50,yes,297,Employed,no
361,39,yes,279,Employed,no
73,59,yes,901,Employed,no
67,30,yes,2573,Employed,no
350,36,yes,143,Employed,no
332,40,yes,475,Employed,no
611,53,yes,70,Employed,no
113,34,yes,318,Employed,no
132,37,yes,275,Employed,no
58,42,yes,742,Employed,no
151,41,yes,236,Employed,no
89,30,yes,25,Unemployed,no
152,37,yes,600,Employed,no
611,39,yes,-349,Employed,no
110,41,yes,183,Employed,no
463,40,yes,0,Employed,no
562,42,yes,0,Employed,yes
962,40,yes,0,Employed,no
10,57,yes,1078,Employed,no
118,56,no,155,Employed,no
92,37,yes,190,Employed,no
143,59,yes,319,Unemployed,no
189,39,yes,-185,Employed,no
234,49,no,47,Employed,no
75,38,yes,570,Employed,no
189,36,no,19,Employed,no
621,50,yes,61,Employed,no
55,41,yes,-62,Employed,no
310,54,no,258,Employed,no
156,58,yes,76,Employed,no
5,30,yes,0,Employed,no
225,33,yes,352,Employed,no
125,47,yes,368,Employed,no
2,50,yes,339,Employed,no
286,32,yes,1331,Employed,no
164,40,yes,672,Employed,no
98,37,yes,58,Employed,no
742,54,yes,447,Employed,no
226,24,yes,423,Unemployed,no
120,54,no,0,Employed,no
362,34,yes,19,Employed,no
357,56,yes,13,Employed,no
200,31,yes,3,Employed,no
204,24,yes,82,Unemployed,no
126,42,yes,28,Employed,no
65,57,yes,792,Employed,no
107,42,yes,408,Employed,no
267,51,yes,531,Employed,no
248,57,yes,211,Unemployed,no
215,36,yes,62,Employed,no
209,53,yes,257,Employed,no
205,50,yes,1234,Employed,no
83,54,yes,313,Employed,no
106,55,yes,89,Employed,no
189,44,yes,129,Employed,no
105,43,yes,0,Employed,no
106,56,yes,353,Employed,no
108,54,yes,851,Employed,no
311,55,yes,96,Employed,no
214,37,yes,398,Employed,no
132,33,no,193,Employed,no
358,46,yes,-358,Employed,no
453,36,yes,539,Employed,no
364,51,yes,0,Employed,no
136,40,no,0,Unemployed,no
386,42,yes,490,Employed,no
173,51,yes,0,Employed,no
241,49,yes,403,Employed,no
224,48,yes,161,Employed,no
148,32,no,2558,Employed,no
196,31,yes,98,Employed,no
111,55,no,115,Employed,no
231,40,yes,436,Employed,no
316,47,yes,831,Employed,no
216,57,yes,206,Employed,no
240,41,yes,290,Employed,no
669,48,no,1,Employed,no
425,42,yes,57,Employed,no
143,30,yes,-457,Employed,no
174,58,yes,1387,Employed,no
313,45,yes,24598,Employed,no
135,49,yes,30,Employed,no
146,42,yes,1022,Employed,no
152,53,yes,56,Employed,no
402,51,no,-2,Employed,no
213,32,yes,121,Employed,no
144,41,yes,842,Employed,no
124,43,yes,693,Employed,no
183,40,yes,-333,Employed,no
325,50,yes,1533,Employed,no
39,34,yes,46,Employed,no
503,53,no,18,Employed,no
95,45,yes,44,Employed,no
680,39,yes,-100,Employed,no
421,44,yes,510,Employed,no
174,55,yes,685,Employed,no
113,46,yes,187,Employed,no
808,45,yes,66,Employed,no
198,34,yes,560,Employed,no
195,36,yes,0,Employed,no
347,59,no,27,Unknown,no
208,31,yes,12,Employed,no
404,44,yes,34,Employed,no
396,33,yes,1068,Employed,no
216,40,yes,211,Employed,no
98,46,yes,377,Employed,no
350,48,yes,263,Employed,no
114,42,yes,1263,Employed,no
88,27,yes,8,Employed,no
379,48,yes,126,Employed,no
190,59,yes,230,Employed,no
158,46,yes,841,Employed,no
102,38,yes,308,Employed,no
306,43,yes,1,Employed,no
218,38,yes,86,Employed,no
54,23,yes,157,Unemployed,no
344,34,yes,22,Employed,no
195,38,yes,46,Employed,no
652,37,no,1293,Employed,no
286,25,yes,122,Employed,no
189,48,yes,131,Employed,no
83,49,yes,143,Employed,no
184,38,no,393,Employed,no
235,43,yes,98,Employed,no
290,33,yes,0,Employed,no
232,55,yes,224,Employed,no
133,38,yes,757,Employed,no
318,49,yes,245,Employed,no
260,40,no,8486,Employed,no
437,43,no,350,Employed,no
402,38,yes,20,Employed,no
85,58,yes,1667,Employed,no
125,57,yes,345,Employed,no
501,32,yes,10,Unemployed,no
1201,56,yes,830,Employed,yes
253,58,yes,29,Employed,no
1030,60,yes,545,Unemployed,yes
149,37,yes,8730,Employed,no
114,46,yes,477,Employed,no
243,27,yes,4,Employed,no
769,43,yes,1205,Employed,no
135,32,yes,0,Employed,no
231,40,yes,263,Employed,no
76,38,no,1,Employed,no
199,34,no,283,Employed,no
152,47,yes,206,Employed,no
124,42,yes,17,Employed,no
424,48,yes,141,Employed,no
43,29,yes,16,Employed,no
154,50,yes,206,Employed,no
203,52,no,7,Employed,no
326,50,no,0,Employed,no
393,58,no,0,Unemployed,no
241,46,yes,1927,Employed,no
483,38,yes,284,Employed,no
259,46,yes,1660,Employed,no
227,32,yes,406,Employed,no
673,51,yes,230,Employed,no
576,39,yes,-25,Employed,no
180,48,yes,182,Employed,no
168,36,yes,1169,Employed,no
90,34,yes,67,Employed,no
505,40,no,77,Employed,no
245,43,yes,0,Unemployed,no
186,52,yes,55,Employed,no
623,33,yes,72,Employed,no
496,49,yes,163,Employed,no
118,32,yes,151,Employed,no
342,39,yes,113,Employed,no
225,40,yes,0,Employed,no
185,38,yes,9,Employed,no
196,43,yes,375,Employed,no
276,39,yes,1142,Employed,no
76,54,yes,2102,Employed,no
87,38,yes,4325,Employed,no
195,40,yes,217,Employed,no
744,55,yes,131,Employed,no
765,42,yes,1680,Employed,no
262,39,yes,0,Employed,no
119,40,yes,46,Employed,no
198,32,yes,320,Employed,no
150,55,yes,183,Employed,no
241,45,no,39,Employed,no
181,35,yes,560,Employed,no
196,58,no,469,Employed,no
149,35,yes,530,Employed,no
246,49,yes,61,Employed,no
112,34,yes,242,Employed,no
309,36,yes,139,Employed,no
278,24,yes,0,Employed,no
140,34,yes,367,Employed,no
136,51,yes,228,Employed,no
1623,39,yes,45248,Employed,yes
101,50,yes,-84,Employed,no
144,32,yes,310,Employed,no
238,42,yes,132,Employed,no
354,50,yes,797,Employed,no
79,40,no,71,Employed,no
187,46,yes,2,Employed,no
451,37,yes,231,Employed,no
159,34,yes,270,Employed,no
409,44,yes,274,Employed,no
170,40,yes,-109,Employed,no
608,37,yes,1,Employed,yes
243,33,no,-60,Employed,no
145,35,yes,89,Employed,no
112,58,no,-11,Employed,no
262,39,yes,0,Employed,no
124,43,yes,-509,Employed,no
53,39,yes,408,Unemployed,no
134,36,yes,58,Employed,no
204,57,no,1640,Unemployed,no
186,36,yes,20,Employed,no
678,50,yes,71,Employed,no
182,55,yes,52,Employed,no
162,44,yes,292,Employed,no
27,44,yes,424,Employed,no
699,39,yes,109,Employed,no
43,46,yes,1044,Employed,no
97,39,yes,983,Employed,no
1677,34,no,869,Employed,yes
283,40,yes,668,Employed,no
323,50,yes,964,Employed,no
82,31,yes,301,Employed,no
310,37,yes,140,Employed,no
185,39,yes,1877,Employed,no
47,51,yes,1127,Employed,no
145,41,yes,871,Employed,no
204,41,yes,767,Employed,no
187,43,no,0,Employed,no
30,30,yes,209,Employed,no
472,54,no,0,Employed,no
448,43,yes,110,Employed,no
264,59,yes,-76,Employed,no
169,47,yes,178,Employed,no
288,40,yes,-66,Employed,no
176,32,yes,0,Employed,no
215,29,yes,1,Employed,no
337,36,yes,0,Employed,no
278,55,no,5345,Unemployed,no
188,30,yes,-209,Employed,no
174,39,yes,0,Employed,no
226,39,yes,42,Employed,no
190,50,yes,41,Employed,no
111,44,yes,-99,Employed,no
164,37,yes,17,Employed,no
157,46,yes,276,Employed,no
46,32,no,-170,Employed,no
374,37,yes,230,Employed,no
349,29,yes,9,Employed,no
325,41,yes,946,Employed,no
233,45,yes,1297,Employed,no
531,57,yes,-331,Unemployed,no
153,48,yes,44,Employed,no
80,60,no,15,Unemployed,no
232,26,yes,712,Employed,no
118,58,yes,5435,Unemployed,no
190,34,yes,507,Employed,no
918,55,yes,387,Unemployed,yes
238,41,yes,0,Employed,no
82,50,yes,1716,Employed,no
198,49,yes,167,Employed,no
160,44,no,40,Employed,no
211,44,yes,148,Employed,no
120,31,yes,17,Employed,no
136,34,yes,1011,Employed,no
269,46,yes,1527,Employed,no
157,42,no,744,Employed,no
128,52,yes,484,Employed,no
211,29,yes,0,Employed,no
267,53,yes,136,Unemployed,no
371,43,yes,1335,Employed,no
288,38,yes,517,Employed,no
221,46,yes,459,Employed,no
427,48,yes,549,Employed,no
310,30,yes,83,Employed,no
158,44,no,213,Employed,no
604,31,yes,203,Employed,no
198,42,yes,518,Employed,no
145,40,yes,3877,Employed,no
247,52,yes,1236,Employed,no
179,45,yes,756,Employed,no
73,48,yes,157,Employed,no
263,45,yes,-66,Employed,no
13,34,yes,245,Employed,no
79,34,yes,-144,Employed,no
416,46,yes,71,Employed,no
162,49,yes,505,Employed,no
129,50,yes,249,Employed,no
150,34,yes,0,Employed,no
43,40,yes,11,Unemployed,no
191,36,yes,639,Employed,no
26,59,yes,124,Employed,no
250,45,yes,82,Employed,no
146,36,yes,107,Employed,no
416,56,yes,473,Employed,no
121,42,yes,372,Employed,no
114,30,yes,46,Employed,no
289,30,yes,34,Unemployed,no
225,47,yes,935,Employed,no
123,33,yes,-10,Employed,no
130,36,yes,-106,Employed,no
161,39,yes,471,Employed,no
149,56,yes,778,Employed,no
268,39,yes,170,Employed,no
259,42,yes,315,Employed,no
26,52,no,3165,Employed,no
153,36,yes,131,Employed,no
424,35,yes,204,Employed,no
179,47,yes,83,Employed,no
97,59,yes,0,Employed,no
383,57,yes,5431,Employed,no
440,38,yes,1759,Employed,no
23,46,yes,-125,Unemployed,no
195,34,no,0,Employed,no
1297,28,yes,5090,Employed,yes
87,38,yes,573,Employed,no
427,56,yes,1602,Employed,no
189,41,yes,-137,Employed,no
195,52,no,0,Employed,no
179,54,no,193,Employed,no
179,61,yes,195,Unemployed,no
69,53,no,288,Employed,no
105,47,yes,19,Employed,no
266,53,yes,25,Employed,no
524,46,yes,216,Employed,no
96,39,yes,190,Employed,no
155,56,yes,99,Employed,no
162,55,yes,2298,Employed,no
352,44,yes,17,Employed,no
76,37,yes,0,Employed,no
154,35,yes,0,Employed,no
310,55,yes,840,Employed,no
390,37,yes,358,Employed,no
369,30,yes,0,Employed,no
112,37,yes,-325,Employed,no
341,36,yes,-15,Employed,no
79,38,yes,581,Employed,no
140,41,yes,4070,Employed,no
315,48,no,74,Unemployed,no
262,55,yes,141,Employed,no
174,28,no,89,Employed,no
138,54,yes,0,Employed,no
526,30,no,450,Employed,no
135,48,no,310,Employed,no
36,31,yes,0,Employed,no
1906,38,yes,384,Employed,no
219,37,yes,395,Employed,no
147,37,yes,-118,Employed,no
407,56,yes,5,Employed,no
121,51,yes,50,Employed,no
209,39,yes,285,Employed,no
92,49,no,15,Employed,no
208,51,yes,653,Employed,no
193,43,yes,918,Employed,no
144,32,yes,243,Employed,no
65,29,yes,405,Employed,no
339,48,yes,1328,Employed,no
285,55,yes,255,Employed,no
231,53,yes,3397,Employed,no
168,47,yes,2106,Employed,no
278,39,yes,2877,Employed,no
389,31,yes,60,Employed,no
158,39,yes,2226,Employed,no
145,40,yes,2880,Employed,no
78,40,yes,-5,Employed,no
142,48,no,147,Employed,no
87,33,yes,7,Employed,no
147,40,yes,109,Employed,no
289,59,yes,-119,Unemployed,no
703,30,yes,484,Employed,yes
170,31,yes,1852,Employed,no
802,35,yes,533,Unemployed,no
381,54,yes,21,Employed,no
218,34,yes,2434,Employed,no
57,32,yes,90,Employed,no
304,56,yes,4246,Employed,no
241,32,yes,395,Employed,no
230,42,yes,15,Employed,no
262,33,no,85,Employed,no
392,52,yes,-184,Employed,no
201,52,no,660,Employed,no
145,52,yes,-183,Employed,no
252,30,yes,1144,Unemployed,no
235,44,yes,1,Employed,no
235,35,yes,69,Employed,no
328,55,yes,220,Employed,no
116,33,yes,332,Employed,no
246,37,yes,240,Employed,no
293,42,yes,0,Employed,no
37,43,yes,0,Unemployed,no
132,38,yes,898,Employed,no
530,37,yes,123,Employed,no
175,31,yes,252,Unemployed,no
524,41,yes,65,Employed,no
29,41,yes,-366,Employed,no
311,29,yes,209,Unemployed,no
211,38,yes,221,Employed,no
312,44,yes,4,Employed,no
412,39,yes,104,Employed,no
392,28,yes,312,Employed,no
191,33,yes,-349,Employed,no
284,41,no,4,Employed,no
144,40,yes,-322,Employed,no
328,29,yes,-150,Employed,no
100,38,yes,1349,Employed,no
226,32,yes,281,Employed,no
507,45,yes,1259,Employed,no
392,33,yes,101,Employed,no
684,34,yes,848,Employed,no
333,41,yes,89,Employed,no
311,41,yes,140,Employed,no
128,35,yes,148,Employed,no
322,40,yes,200,Employed,no
202,60,yes,46,Employed,no
92,47,yes,201,Employed,no
739,46,yes,530,Employed,no
273,31,yes,0,Employed,no
260,49,yes,1,Employed,no
268,29,yes,43,Employed,no
396,31,yes,-173,Employed,no
262,38,yes,389,Employed,no
308,37,yes,215,Employed,no
467,35,yes,-131,Employed,no
320,31,yes,783,Employed,no
160,41,yes,0,Employed,no
245,46,yes,80,Employed,no
189,40,yes,105,Employed,no
477,29,yes,182,Employed,no
310,49,yes,82,Employed,no
65,42,yes,0,Employed,no
196,54,yes,510,Employed,no
221,40,yes,242,Employed,no
197,53,yes,244,Employed,no
221,49,yes,92,Employed,no
64,40,yes,0,Employed,no
75,29,yes,948,Unemployed,no
400,36,yes,23,Employed,no
378,37,yes,710,Employed,no
118,39,yes,1205,Employed,no
1597,36,yes,368,Employed,yes
346,44,yes,1631,Employed,no
60,40,yes,6,Employed,no
276,49,yes,26,Employed,no
152,30,yes,-48,Employed,no
251,57,yes,2142,Employed,no
390,24,yes,77,Employed,no
306,46,yes,401,Employed,no
189,33,no,21,Employed,no
125,43,yes,0,Employed,no
234,43,yes,-497,Employed,no
79,40,no,369,Employed,no
13,44,yes,78,Employed,no
283,35,yes,226,Employed,no
109,47,yes,503,Employed,no
132,33,yes,372,Employed,no
144,31,yes,0,Employed,no
121,40,yes,0,Employed,no
95,36,yes,125,Employed,no
31,56,yes,4,Unemployed,no
112,40,yes,419,Employed,no
87,41,yes,322,Employed,no
593,53,yes,303,Unemployed,no
99,39,yes,607,Employed,no
198,44,yes,579,Employed,no
285,38,yes,3047,Employed,no
190,54,yes,83,Employed,no
172,58,yes,68,Employed,no
213,52,yes,58,Employed,no
178,28,yes,251,Employed,no
174,36,yes,688,Employed,no
631,60,yes,364,Unemployed,no
176,42,yes,55,Employed,no
32,42,yes,101,Employed,no
1529,44,yes,105,Employed,no
254,51,yes,325,Employed,no
200,49,yes,198,Employed,no
135,47,yes,209,Employed,no
112,37,yes,183,Employed,no
314,34,yes,105,Employed,no
597,35,yes,109,Employed,no
207,35,yes,376,Employed,no
410,40,yes,-7,Employed,no
160,55,no,0,Employed,no
42,55,yes,143,Unemployed,no
55,35,yes,550,Employed,no
155,57,yes,162,Employed,no
336,53,yes,115,Employed,no
233,41,yes,512,Employed,no
211,57,yes,807,Employed,no
88,45,yes,248,Employed,no
208,43,yes,1211,Employed,no
305,56,no,7,Employed,no
206,31,yes,281,Employed,no
128,37,yes,88,Employed,no
122,30,yes,32,Employed,no
66,30,yes,115,Employed,no
66,54,yes,254,Employed,no
164,36,yes,144,Employed,no
343,55,no,383,Unemployed,no
126,37,yes,569,Employed,no
59,38,yes,0,Employed,no
249,48,yes,3754,Employed,no
406,55,yes,6920,Employed,no
250,59,yes,307,Employed,no
183,37,yes,-421,Employed,no
190,33,no,60,Employed,no
220,44,yes,67,Employed,no
153,57,yes,402,Employed,no
95,30,no,800,Employed,no
191,42,yes,239,Employed,no
216,51,yes,421,Employed,no
89,44,yes,161,Employed,no
51,46,no,289,Employed,no
169,29,yes,110,Unemployed,no
148,39,yes,245,Employed,no
132,42,yes,0,Employed,no
117,50,yes,156,Employed,no
275,42,yes,0,Employed,no
124,39,yes,20,Employed,no
118,55,yes,92,Employed,no
479,46,yes,89,Employed,no
285,42,yes,166,Employed,no
35,45,yes,103,Employed,no
322,43,yes,-454,Employed,no
202,42,yes,445,Employed,no
172,30,no,4,Employed,no
201,47,yes,1001,Employed,no
216,51,yes,-69,Employed,no
195,38,yes,42,Employed,no
96,57,yes,1617,Employed,no
720,42,yes,221,Employed,no
188,32,yes,210,Employed,no
70,46,no,0,Employed,no
141,29,yes,185,Unemployed,no
106,59,yes,836,Unemployed,no
395,32,yes,301,Employed,no
629,44,yes,503,Employed,no
502,40,yes,407,Unemployed,no
446,31,yes,53,Employed,no
241,46,yes,2303,Employed,no
131,43,yes,144,Employed,no
312,34,yes,205,Employed,no
275,39,yes,305,Employed,no
120,30,yes,251,Employed,no
333,56,yes,0,Unemployed,no
113,29,no,8,Employed,no
91,40,yes,139,Employed,no
128,36,yes,184,Employed,no
200,37,yes,238,Employed,no
326,35,no,0,Employed,no
292,35,yes,0,Employed,no
68,47,yes,222,Employed,no
215,31,yes,414,Employed,no
97,56,yes,223,Unemployed,no
32,57,no,197,Employed,no
162,36,yes,-251,Employed,no
152,45,yes,-139,Employed,no
268,47,yes,733,Employed,no
104,29,yes,0,Employed,no
852,57,no,1,Employed,no
923,45,yes,97,Employed,no
159,31,yes,435,Employed,no
953,31,yes,0,Employed,no
416,37,no,147,Employed,no
174,30,yes,3,Employed,no
180,58,yes,1109,Employed,no
139,33,yes,404,Employed,no
294,39,yes,981,Employed,no
102,33,yes,95,Employed,no
124,34,yes,302,Employed,no
128,36,yes,-290,Employed,no
130,37,yes,259,Employed,no
143,35,yes,527,Employed,no
74,55,yes,102,Unemployed,no
105,34,yes,872,Employed,no
477,40,yes,490,Employed,no
158,42,yes,19,Employed,no
250,37,yes,16,Employed,no
168,42,yes,386,Employed,no
520,35,yes,539,Employed,no
171,44,yes,-329,Employed,no
113,30,yes,-174,Employed,no
254,45,yes,68,Employed,no
149,35,yes,-532,Employed,no
133,36,yes,0,Employed,no
293,49,yes,64,Employed,no
485,31,yes,1415,Employed,no
374,31,yes,147,Employed,no
425,39,yes,72,Employed,no
207,37,yes,-196,Employed,no
83,33,yes,716,Employed,no
228,37,yes,0,Employed,no
149,42,yes,-246,Employed,no
139,56,yes,-203,Employed,no
732,37,yes,245,Employed,yes
142,36,yes,342,Employed,no
359,29,yes,3,Employed,no
112,54,yes,-248,Employed,no
1521,38,yes,376,Employed,no
216,43,yes,370,Employed,no
161,47,yes,594,Employed,no
122,47,yes,387,Employed,no
800,38,yes,208,Employed,no
615,40,yes,563,Employed,no
254,33,yes,392,Employed,no
111,33,no,165,Unemployed,no
354,53,yes,236,Employed,no
359,37,yes,52,Employed,no
97,40,yes,1265,Employed,no
327,37,yes,693,Employed,no
236,35,yes,118,Employed,no
160,49,yes,3659,Employed,no
180,26,yes,24,Employed,no
184,38,yes,673,Employed,no
227,52,no,273,Employed,no
109,33,yes,327,Employed,no
492,31,yes,299,Employed,no
298,32,yes,0,Employed,no
83,35,yes,109,Employed,no
241,55,no,552,Employed,no
204,32,yes,473,Employed,no
131,37,yes,414,Unknown,no
1138,45,yes,154,Employed,yes
123,31,yes,344,Employed,no
125,38,yes,8,Employed,no
295,37,yes,78,Employed,no
287,38,yes,266,Employed,no
109,33,yes,98,Employed,no
140,38,yes,83,Employed,no
204,37,yes,45,Employed,no
233,29,yes,8,Unemployed,no
254,42,yes,263,Employed,no
184,40,yes,306,Employed,no
193,32,yes,233,Employed,no
126,47,no,447,Employed,no
230,29,yes,872,Unemployed,no
591,53,yes,-291,Employed,yes
294,31,yes,309,Employed,no
173,59,yes,202,Employed,no
336,29,yes,56,Employed,no
19,59,yes,229,Employed,no
153,44,yes,143,Employed,no
786,38,yes,100,Employed,yes
99,49,yes,326,Employed,no
243,43,yes,167,Employed,no
260,52,yes,545,Employed,no
164,40,yes,2100,Employed,no
255,32,yes,0,Employed,no
47,47,yes,192,Employed,no
463,33,yes,442,Employed,no
192,35,yes,267,Employed,no
388,27,yes,0,Employed,no
221,50,yes,377,Employed,no
126,44,no,7624,Unemployed,no
175,43,yes,66,Employed,no
256,51,yes,37,Employed,no
202,32,yes,64,Employed,no
104,47,yes,34,Employed,no
