ID,duration,poutcome,month,pdays,age,previous,contact,housing,job,campaign,balance,education,loan,marital,y
73,154,unknown,may,never,54,never,unknown,yes,Employed,1,high,secondary,yes,married,no
74,291,unknown,may,never,55,never,unknown,yes,Employed,1,high,primary,no,married,no
75,181,unknown,may,never,43,never,unknown,yes,Employed,1,avergae,secondary,no,married,no
76,176,unknown,may,never,53,never,unknown,yes,Employed,1,high,secondary,no,married,no
77,211,unknown,may,never,44,never,unknown,no,Employed,1,high,secondary,yes,married,no
78,349,unknown,may,never,55,never,unknown,no,Employed,1,high,secondary,no,divorced,no
79,272,unknown,may,never,49,never,unknown,yes,Employed,1,low,secondary,yes,divorced,no
80,208,unknown,may,never,55,never,unknown,yes,Employed,1,high,secondary,no,divorced,no
81,193,unknown,may,never,45,never,unknown,yes,Employed,1,high,secondary,no,single,no
82,212,unknown,may,never,47,never,unknown,no,Employed,1,high,secondary,no,divorced,no
83,20,unknown,may,never,42,never,unknown,yes,Employed,1,high,secondary,no,single,no
84,1042,unknown,may,never,59,never,unknown,yes,Employed,1,high,secondary,no,married,yes
85,246,unknown,may,never,46,never,unknown,yes,Employed,1,high,tertiary,yes,married,no
86,529,unknown,may,never,51,never,unknown,yes,Employed,2,high,primary,no,married,no
87,1467,unknown,may,never,56,never,unknown,no,Employed,1,high,secondary,no,married,yes
88,1389,unknown,may,never,41,never,unknown,yes,Employed,1,high,secondary,no,married,yes
89,188,unknown,may,never,46,never,unknown,yes,Employed,2,high,secondary,yes,divorced,no
90,180,unknown,may,never,57,never,unknown,yes,Unemployed,2,high,secondary,no,married,no
91,48,unknown,may,never,42,never,unknown,no,Employed,1,high,secondary,no,single,no
92,213,unknown,may,never,30,never,unknown,yes,Employed,2,high,secondary,yes,married,no
93,583,unknown,may,never,60,never,unknown,yes,Employed,1,high,secondary,no,married,no
94,221,unknown,may,never,60,never,unknown,yes,Employed,1,high,unknown,no,married,no
95,173,unknown,may,never,57,never,unknown,no,Employed,1,low,secondary,no,divorced,no
96,426,unknown,may,never,36,never,unknown,yes,Employed,1,high,tertiary,yes,married,no
97,287,unknown,may,never,55,never,unknown,no,Employed,1,high,secondary,no,married,no
98,101,unknown,may,never,60,never,unknown,yes,Unemployed,1,high,tertiary,no,married,no
99,203,unknown,may,never,39,never,unknown,yes,Employed,1,low,secondary,no,married,no
100,197,unknown,may,never,46,never,unknown,yes,Employed,1,high,tertiary,no,married,no
101,257,unknown,may,never,44,never,unknown,yes,Employed,1,low,secondary,no,married,no
102,124,unknown,may,never,53,never,unknown,no,Employed,1,high,primary,no,married,no
103,229,unknown,may,never,52,never,unknown,yes,Employed,1,high,primary,no,married,no
104,55,unknown,may,never,59,never,unknown,yes,Employed,3,high,primary,no,married,no
105,400,unknown,may,never,27,never,unknown,yes,Employed,1,low,tertiary,no,single,no
106,197,unknown,may,never,44,never,unknown,yes,Employed,1,high,secondary,no,married,no
107,190,unknown,may,never,47,never,unknown,yes,Employed,1,high,tertiary,no,married,no
108,21,unknown,may,never,34,never,unknown,no,Employed,1,high,secondary,yes,married,no
109,514,unknown,may,never,59,never,unknown,yes,Unemployed,1,high,secondary,no,single,no
110,849,unknown,may,never,45,never,unknown,yes,Employed,2,high,tertiary,no,married,no
111,194,unknown,may,never,29,never,unknown,yes,Employed,1,high,secondary,no,divorced,no
112,144,unknown,may,never,46,never,unknown,no,Employed,1,high,secondary,no,divorced,no
113,212,unknown,may,never,56,never,unknown,yes,Employed,2,low,primary,yes,married,no
114,286,unknown,may,never,36,never,unknown,yes,Employed,1,high,primary,no,married,no
115,107,unknown,may,never,59,never,unknown,yes,Unemployed,1,high,primary,no,divorced,no
116,247,unknown,may,never,44,never,unknown,yes,Employed,2,high,secondary,no,married,no
117,518,unknown,may,never,41,never,unknown,yes,Employed,1,high,secondary,no,married,no
118,364,unknown,may,never,33,never,unknown,yes,Employed,1,low,tertiary,no,single,no
119,178,unknown,may,never,59,never,unknown,no,Employed,1,high,tertiary,no,divorced,no
120,98,unknown,may,never,57,never,unknown,no,Employed,1,low,primary,no,married,no
121,439,unknown,may,never,56,never,unknown,yes,Employed,1,high,unknown,no,divorced,no
122,79,unknown,may,never,51,never,unknown,yes,Employed,1,high,secondary,no,married,no
123,120,unknown,may,never,34,never,unknown,yes,Employed,3,high,unknown,no,married,no
124,127,unknown,may,never,43,never,unknown,yes,Employed,2,high,secondary,yes,married,no
125,175,unknown,may,never,52,never,unknown,no,Employed,1,high,tertiary,yes,married,no
126,262,unknown,may,never,33,never,unknown,yes,Employed,2,high,secondary,no,single,no
127,61,unknown,may,never,29,never,unknown,yes,Employed,1,high,secondary,yes,single,no
128,78,unknown,may,never,34,never,unknown,yes,Employed,1,low,secondary,yes,married,no
129,143,unknown,may,never,31,never,unknown,yes,Employed,1,low,secondary,no,married,no
130,579,unknown,may,never,55,never,unknown,yes,Employed,1,high,secondary,no,married,yes
131,677,unknown,may,never,55,never,unknown,no,Employed,1,high,unknown,no,married,no
132,345,unknown,may,never,32,never,unknown,yes,Employed,1,high,secondary,no,single,no
133,185,unknown,may,never,38,never,unknown,yes,Employed,1,avergae,secondary,no,single,no
134,100,unknown,may,never,55,never,unknown,yes,Employed,2,high,secondary,yes,single,no
135,125,unknown,may,never,28,never,unknown,yes,Unemployed,2,low,tertiary,no,single,no
136,193,unknown,may,never,23,never,unknown,yes,Employed,1,high,secondary,no,married,no
137,136,unknown,may,never,32,never,unknown,yes,Employed,1,low,secondary,no,single,no
138,73,unknown,may,never,43,never,unknown,no,Employed,1,low,unknown,no,single,no
139,528,unknown,may,never,32,never,unknown,yes,Employed,1,high,secondary,no,married,no
140,541,unknown,may,never,46,never,unknown,yes,Employed,1,high,secondary,no,married,no
141,163,unknown,may,never,53,never,unknown,yes,Employed,1,high,primary,no,divorced,no
142,301,unknown,may,never,34,never,unknown,yes,Employed,1,high,secondary,no,single,no
143,46,unknown,may,never,57,never,unknown,no,Unemployed,1,high,tertiary,no,married,no
144,204,unknown,may,never,37,never,unknown,yes,Employed,1,high,secondary,no,married,no
145,98,unknown,may,never,59,never,unknown,yes,Employed,1,high,secondary,no,married,no
146,71,unknown,may,never,33,never,unknown,yes,Employed,1,high,secondary,no,married,no
147,157,unknown,may,never,56,never,unknown,yes,Employed,2,high,primary,no,divorced,no
148,243,unknown,may,never,48,never,unknown,yes,Unemployed,1,high,secondary,no,married,no
149,186,unknown,may,never,43,never,unknown,yes,Employed,2,high,primary,no,married,no
150,579,unknown,may,never,54,never,unknown,yes,Employed,2,high,primary,no,married,no
151,163,unknown,may,never,51,never,unknown,yes,Employed,2,low,unknown,no,married,no
152,610,unknown,may,never,26,never,unknown,yes,Unemployed,2,low,secondary,no,single,no
153,2033,unknown,may,never,40,never,unknown,yes,Employed,1,low,tertiary,no,married,no
154,85,unknown,may,never,39,never,unknown,yes,Employed,1,high,secondary,no,married,no
155,114,unknown,may,never,50,never,unknown,no,Employed,2,high,primary,no,married,no
156,114,unknown,may,never,41,never,unknown,yes,Employed,2,low,secondary,no,married,no
157,57,unknown,may,never,51,never,unknown,yes,Employed,1,avergae,unknown,no,married,no
158,238,unknown,may,never,60,never,unknown,yes,Unemployed,1,high,secondary,no,divorced,no
159,93,unknown,may,never,52,never,unknown,yes,Employed,3,high,secondary,no,married,no
160,128,unknown,may,never,48,never,unknown,yes,Employed,2,high,secondary,no,married,no
161,107,unknown,may,never,48,never,unknown,yes,Employed,1,avergae,unknown,no,married,no
162,181,unknown,may,never,39,never,unknown,yes,Employed,1,high,tertiary,no,single,no
163,303,unknown,may,never,47,never,unknown,yes,Employed,2,high,secondary,no,single,no
164,558,unknown,may,never,40,never,unknown,yes,Employed,5,high,secondary,no,married,no
165,270,unknown,may,never,45,never,unknown,yes,Employed,1,high,secondary,no,married,no
166,228,unknown,may,never,26,never,unknown,yes,Employed,1,high,secondary,no,single,no
167,99,unknown,may,never,52,never,unknown,yes,Employed,1,high,tertiary,no,married,no
168,240,unknown,may,never,54,never,unknown,yes,Employed,1,high,secondary,no,married,no
169,673,unknown,may,never,54,never,unknown,no,Employed,2,high,tertiary,no,married,yes
170,233,unknown,may,never,50,never,unknown,no,Employed,3,low,primary,no,married,no
171,1056,unknown,may,never,35,never,unknown,yes,Employed,1,low,secondary,no,married,no
172,250,unknown,may,never,44,never,unknown,yes,Employed,1,high,secondary,yes,married,no
173,252,unknown,may,never,53,never,unknown,yes,Employed,1,high,unknown,no,married,no
174,138,unknown,may,never,35,never,unknown,no,Unemployed,1,high,primary,no,single,no
175,130,unknown,may,never,60,never,unknown,yes,Employed,1,high,secondary,no,divorced,no
176,412,unknown,may,never,53,never,unknown,yes,Employed,1,high,secondary,no,divorced,no
177,179,unknown,may,never,48,never,unknown,yes,Unemployed,2,high,secondary,no,married,no
178,19,unknown,may,never,34,never,unknown,yes,Employed,2,high,secondary,no,married,no
179,458,unknown,may,never,54,never,unknown,yes,Employed,2,high,secondary,no,married,no
180,717,unknown,may,never,51,never,unknown,yes,Employed,1,high,secondary,no,married,no
181,313,unknown,may,never,31,never,unknown,yes,Employed,1,high,tertiary,no,married,no
182,683,unknown,may,never,35,never,unknown,yes,Employed,2,high,secondary,no,divorced,no
183,1077,unknown,may,never,35,never,unknown,yes,Employed,1,high,secondary,no,married,no
184,416,unknown,may,never,38,never,unknown,yes,Employed,1,high,secondary,no,married,no
185,146,unknown,may,never,36,never,unknown,yes,Employed,2,high,tertiary,no,married,no
186,167,unknown,may,never,58,never,unknown,yes,Unemployed,1,high,primary,no,married,no
187,315,unknown,may,never,40,never,unknown,yes,Employed,1,high,unknown,no,divorced,no
188,140,unknown,may,never,54,never,unknown,no,Employed,1,high,secondary,no,married,no
189,346,unknown,may,never,34,never,unknown,yes,Employed,1,high,secondary,yes,single,no
190,562,unknown,may,never,31,never,unknown,yes,Employed,1,low,tertiary,no,single,no
191,172,unknown,may,never,51,never,unknown,yes,Unemployed,1,high,secondary,no,married,no
192,217,unknown,may,never,33,never,unknown,yes,Employed,1,high,tertiary,no,married,no
193,142,unknown,may,never,55,never,unknown,yes,Employed,2,high,tertiary,no,married,no
194,67,unknown,may,never,42,never,unknown,yes,Employed,1,high,secondary,no,married,no
195,291,unknown,may,never,34,never,unknown,yes,Employed,1,high,secondary,no,married,no
196,309,unknown,may,never,33,never,unknown,yes,Employed,2,high,secondary,no,single,no
197,248,unknown,may,never,38,never,unknown,yes,Employed,1,high,secondary,no,married,no
198,98,unknown,may,never,50,never,unknown,no,Employed,1,high,tertiary,yes,divorced,no
199,256,unknown,may,never,43,never,unknown,yes,Employed,1,high,tertiary,no,married,no
200,82,unknown,may,never,61,never,unknown,yes,Employed,2,high,primary,no,divorced,no
201,577,unknown,may,never,47,never,unknown,yes,Employed,1,high,secondary,no,married,no
202,286,unknown,may,never,48,never,unknown,yes,Employed,1,high,tertiary,no,married,no
203,477,unknown,may,never,44,never,unknown,yes,Employed,1,high,secondary,no,married,no
204,611,unknown,may,never,35,never,unknown,yes,Unemployed,2,high,unknown,no,single,no
205,471,unknown,may,never,35,never,unknown,yes,Employed,1,low,secondary,no,married,no
206,381,unknown,may,never,50,never,unknown,yes,Employed,2,veryhigh,secondary,no,married,no
207,42,unknown,may,never,41,never,unknown,yes,Employed,1,high,tertiary,yes,married,no
208,251,unknown,may,never,41,never,unknown,yes,Employed,1,high,tertiary,no,married,no
209,408,unknown,may,never,39,never,unknown,yes,Employed,1,high,unknown,no,single,no
210,215,unknown,may,never,42,never,unknown,yes,Unemployed,1,high,secondary,no,married,no
211,287,unknown,may,never,38,never,unknown,yes,Employed,1,low,secondary,no,married,no
212,216,unknown,may,never,53,never,unknown,yes,Unemployed,2,high,secondary,no,married,no
213,366,unknown,may,never,59,never,unknown,no,Employed,2,high,primary,no,divorced,no
214,210,unknown,may,never,36,never,unknown,yes,Employed,1,high,secondary,no,married,no
215,288,unknown,may,never,54,never,unknown,yes,Employed,1,low,primary,no,married,no
216,168,unknown,may,never,40,never,unknown,yes,Employed,1,high,tertiary,no,married,no
217,338,unknown,may,never,47,never,unknown,no,Unknown,2,high,unknown,no,married,no
218,410,unknown,may,never,53,never,unknown,no,Unemployed,3,high,unknown,no,married,no
219,177,unknown,may,never,46,never,unknown,no,Employed,1,high,primary,no,married,no
220,127,unknown,may,never,39,never,unknown,yes,Employed,2,high,tertiary,yes,married,no
221,357,unknown,may,never,40,never,unknown,yes,Unemployed,1,high,secondary,no,married,no
222,175,unknown,may,never,28,never,unknown,yes,Employed,1,high,primary,no,married,no
223,300,unknown,may,never,35,never,unknown,yes,Employed,1,low,secondary,no,divorced,no
224,136,unknown,may,never,55,never,unknown,no,Unemployed,1,low,secondary,yes,married,no
225,1419,unknown,may,never,43,never,unknown,yes,Employed,1,high,unknown,no,divorced,no
226,125,unknown,may,never,48,never,unknown,yes,Employed,2,high,primary,no,married,no
227,213,unknown,may,never,58,never,unknown,yes,Employed,3,high,unknown,no,married,no
228,27,unknown,may,never,33,never,unknown,yes,Employed,1,high,tertiary,no,single,no
229,238,unknown,may,never,36,never,unknown,no,Employed,2,high,unknown,no,married,no
230,124,unknown,may,never,53,never,unknown,yes,Employed,1,high,secondary,no,divorced,no
231,18,unknown,may,never,47,never,unknown,yes,Employed,1,low,primary,no,married,no
232,730,unknown,may,never,31,never,unknown,yes,Employed,2,high,secondary,no,married,no
233,746,unknown,may,never,57,never,unknown,yes,Employed,2,high,secondary,no,married,no
234,121,unknown,may,never,53,never,unknown,no,Employed,1,avergae,unknown,no,married,no
235,247,unknown,may,never,55,never,unknown,yes,Employed,1,high,primary,no,married,no
236,40,unknown,may,never,45,never,unknown,yes,Employed,1,high,primary,no,married,no
237,181,unknown,may,never,53,never,unknown,yes,Employed,2,high,secondary,no,divorced,no
238,79,unknown,may,never,37,never,unknown,yes,Employed,1,low,primary,no,married,no
239,206,unknown,may,never,44,never,unknown,yes,Employed,1,high,secondary,no,divorced,no
240,389,unknown,may,never,49,never,unknown,yes,Employed,1,low,primary,yes,divorced,no
241,127,unknown,may,never,46,never,unknown,yes,Employed,1,high,secondary,yes,married,no
242,702,unknown,may,never,43,never,unknown,yes,Employed,1,high,unknown,no,married,no
243,151,unknown,may,never,38,never,unknown,no,Employed,1,low,secondary,no,married,no
244,117,unknown,may,never,43,never,unknown,yes,Employed,1,high,secondary,no,married,no
245,232,unknown,may,never,49,never,unknown,yes,Employed,3,high,tertiary,no,married,no
246,408,unknown,may,never,42,never,unknown,no,Employed,2,high,unknown,no,married,no
247,179,unknown,may,never,22,never,unknown,yes,Employed,2,low,secondary,no,single,no
248,39,unknown,may,never,40,never,unknown,yes,Employed,1,high,tertiary,no,married,no
249,282,unknown,may,never,39,never,unknown,yes,Employed,1,high,secondary,no,married,no
250,714,unknown,may,never,51,never,unknown,yes,Employed,2,high,secondary,no,married,no
251,50,unknown,may,never,49,never,unknown,yes,Employed,1,high,secondary,no,married,no
252,181,unknown,may,never,53,never,unknown,yes,Employed,1,low,secondary,yes,married,no
253,142,unknown,may,never,34,never,unknown,yes,Employed,1,low,secondary,no,single,no
254,227,unknown,may,never,33,never,unknown,yes,Employed,1,high,secondary,no,divorced,no
255,119,unknown,may,never,50,never,unknown,yes,Employed,1,high,tertiary,no,single,no
256,361,unknown,may,never,39,never,unknown,yes,Employed,1,high,primary,no,married,no
257,73,unknown,may,never,59,never,unknown,yes,Employed,3,high,secondary,no,divorced,no
258,67,unknown,may,never,30,never,unknown,yes,Employed,2,high,secondary,no,single,no
259,350,unknown,may,never,36,never,unknown,yes,Employed,1,high,secondary,yes,married,no
260,332,unknown,may,never,40,never,unknown,yes,Employed,2,high,secondary,no,married,no
261,611,unknown,may,never,53,never,unknown,yes,Employed,2,high,secondary,no,married,no
262,113,unknown,may,never,34,never,unknown,yes,Employed,2,high,tertiary,no,single,no
263,132,unknown,may,never,37,never,unknown,yes,Employed,1,high,secondary,no,married,no
264,58,unknown,may,never,42,never,unknown,yes,Employed,3,high,tertiary,no,divorced,no
265,151,unknown,may,never,41,never,unknown,yes,Employed,1,high,primary,no,married,no
266,89,unknown,may,never,30,never,unknown,yes,Unemployed,2,high,tertiary,no,single,no
267,152,unknown,may,never,37,never,unknown,yes,Employed,1,high,tertiary,no,single,no
268,611,unknown,may,never,39,never,unknown,yes,Employed,2,low,secondary,no,divorced,no
269,110,unknown,may,never,41,never,unknown,yes,Employed,2,high,primary,yes,married,no
270,463,unknown,may,never,40,never,unknown,yes,Employed,1,low,primary,no,married,no
271,562,unknown,may,never,42,never,unknown,yes,Employed,2,low,tertiary,yes,single,yes
272,962,unknown,may,never,40,never,unknown,yes,Employed,1,low,primary,no,divorced,no
273,10,unknown,may,never,57,never,unknown,yes,Employed,4,high,secondary,no,married,no
274,118,unknown,may,never,56,never,unknown,no,Employed,3,high,secondary,no,divorced,no
275,92,unknown,may,never,37,never,unknown,yes,Employed,2,high,secondary,no,married,no
276,143,unknown,may,never,59,never,unknown,yes,Unemployed,3,high,secondary,no,married,no
277,189,unknown,may,never,39,never,unknown,yes,Employed,3,low,secondary,no,divorced,no
278,234,unknown,may,never,49,never,unknown,no,Employed,2,high,secondary,no,married,no
279,75,unknown,may,never,38,never,unknown,yes,Employed,2,high,secondary,no,single,no
280,189,unknown,may,never,36,never,unknown,no,Employed,2,high,tertiary,no,married,no
281,621,unknown,may,never,50,never,unknown,yes,Employed,3,high,primary,no,married,no
282,55,unknown,may,never,41,never,unknown,yes,Employed,2,low,secondary,yes,married,no
283,310,unknown,may,never,54,never,unknown,no,Employed,4,high,tertiary,no,married,no
284,156,unknown,may,never,58,never,unknown,yes,Employed,2,high,primary,no,married,no
285,5,unknown,may,never,30,never,unknown,yes,Employed,2,low,secondary,no,single,no
286,225,unknown,may,never,33,never,unknown,yes,Employed,2,high,secondary,no,single,no
287,125,unknown,may,never,47,never,unknown,yes,Employed,2,high,secondary,no,married,no
288,2,unknown,may,never,50,never,unknown,yes,Employed,3,high,tertiary,no,single,no
289,286,unknown,may,never,32,never,unknown,yes,Employed,2,high,secondary,no,married,no
290,164,unknown,may,never,40,never,unknown,yes,Employed,2,high,secondary,no,married,no
291,98,unknown,may,never,37,never,unknown,yes,Employed,2,high,tertiary,no,married,no
292,742,unknown,may,never,54,never,unknown,yes,Employed,2,high,unknown,no,single,no
293,226,unknown,may,never,24,never,unknown,yes,Unemployed,3,high,secondary,no,single,no
294,120,unknown,may,never,54,never,unknown,no,Employed,2,low,tertiary,no,married,no
295,362,unknown,may,never,34,never,unknown,yes,Employed,4,high,secondary,no,married,no
296,357,unknown,may,never,56,never,unknown,yes,Employed,2,high,primary,no,divorced,no
297,200,unknown,may,never,31,never,unknown,yes,Employed,2,high,secondary,no,single,no
298,204,unknown,may,never,24,never,unknown,yes,Unemployed,2,high,secondary,no,single,no
299,126,unknown,may,never,42,never,unknown,yes,Employed,3,high,primary,no,divorced,no
300,65,unknown,may,never,57,never,unknown,yes,Employed,2,high,secondary,no,married,no
301,107,unknown,may,never,42,never,unknown,yes,Employed,2,high,unknown,no,married,no
302,267,unknown,may,never,51,never,unknown,yes,Employed,2,high,secondary,no,married,no
303,248,unknown,may,never,57,never,unknown,yes,Unemployed,2,high,secondary,no,married,no
304,215,unknown,may,never,36,never,unknown,yes,Employed,2,high,secondary,no,single,no
305,209,unknown,may,never,53,never,unknown,yes,Employed,2,high,unknown,no,married,no
306,205,unknown,may,never,50,never,unknown,yes,Employed,2,high,secondary,no,married,no
307,83,unknown,may,never,54,never,unknown,yes,Employed,2,high,tertiary,no,married,no
308,106,unknown,may,never,55,never,unknown,yes,Employed,3,high,secondary,no,married,no
309,189,unknown,may,never,44,never,unknown,yes,Employed,2,high,secondary,yes,married,no
310,105,unknown,may,never,43,never,unknown,yes,Employed,2,low,unknown,no,married,no
311,106,unknown,may,never,56,never,unknown,yes,Employed,2,high,secondary,no,married,no
312,108,unknown,may,never,54,never,unknown,yes,Employed,2,high,unknown,no,married,no
313,311,unknown,may,never,55,never,unknown,yes,Employed,2,high,primary,yes,divorced,no
314,214,unknown,may,never,37,never,unknown,yes,Employed,2,high,secondary,yes,divorced,no
315,132,unknown,may,never,33,never,unknown,no,Employed,2,high,tertiary,no,single,no
316,358,unknown,may,never,46,never,unknown,yes,Employed,2,low,secondary,no,married,no
317,453,unknown,may,never,36,never,unknown,yes,Employed,2,high,secondary,yes,married,no
318,364,unknown,may,never,51,never,unknown,yes,Employed,2,low,secondary,no,single,no
319,136,unknown,may,never,40,never,unknown,no,Unemployed,2,low,primary,no,single,no
320,386,unknown,may,never,42,never,unknown,yes,Employed,2,high,secondary,no,married,no
321,173,unknown,may,never,51,never,unknown,yes,Employed,2,low,secondary,no,married,no
322,241,unknown,may,never,49,never,unknown,yes,Employed,2,high,unknown,no,married,no
323,224,unknown,may,never,48,never,unknown,yes,Employed,3,high,secondary,no,married,no
324,148,unknown,may,never,32,never,unknown,no,Employed,2,high,tertiary,no,divorced,no
325,196,unknown,may,never,31,never,unknown,yes,Employed,2,high,secondary,no,single,no
326,111,unknown,may,never,55,never,unknown,no,Employed,4,high,tertiary,no,single,no
327,231,unknown,may,never,40,never,unknown,yes,Employed,3,high,secondary,no,single,no
328,316,unknown,may,never,47,never,unknown,yes,Employed,3,high,tertiary,no,married,no
329,216,unknown,may,never,57,never,unknown,yes,Employed,3,high,unknown,no,married,no
330,240,unknown,may,never,41,never,unknown,yes,Employed,2,high,secondary,no,married,no
331,669,unknown,may,never,48,never,unknown,no,Employed,3,high,secondary,no,married,no
332,425,unknown,may,never,42,never,unknown,yes,Employed,2,high,unknown,no,married,no
333,143,unknown,may,never,30,never,unknown,yes,Employed,2,low,secondary,no,single,no
