age,duration,month,pdays,poutcome,previous,y
47,338,may,never,unknown,never,no
53,410,may,never,unknown,never,no
46,177,may,never,unknown,never,no
39,127,may,never,unknown,never,no
40,357,may,never,unknown,never,no
28,175,may,never,unknown,never,no
35,300,may,never,unknown,never,no
55,136,may,never,unknown,never,no
43,1419,may,never,unknown,never,no
48,125,may,never,unknown,never,no
58,213,may,never,unknown,never,no
33,27,may,never,unknown,never,no
36,238,may,never,unknown,never,no
53,124,may,never,unknown,never,no
47,18,may,never,unknown,never,no
31,730,may,never,unknown,never,no
57,746,may,never,unknown,never,no
53,121,may,never,unknown,never,no
55,247,may,never,unknown,never,no
45,40,may,never,unknown,never,no
53,181,may,never,unknown,never,no
37,79,may,never,unknown,never,no
44,206,may,never,unknown,never,no
49,389,may,never,unknown,never,no
46,127,may,never,unknown,never,no
43,702,may,never,unknown,never,no
38,151,may,never,unknown,never,no
43,117,may,never,unknown,never,no
49,232,may,never,unknown,never,no
42,408,may,never,unknown,never,no
22,179,may,never,unknown,never,no
40,39,may,never,unknown,never,no
39,282,may,never,unknown,never,no
51,714,may,never,unknown,never,no
49,50,may,never,unknown,never,no
53,181,may,never,unknown,never,no
34,142,may,never,unknown,never,no
33,227,may,never,unknown,never,no
50,119,may,never,unknown,never,no
39,361,may,never,unknown,never,no
59,73,may,never,unknown,never,no
30,67,may,never,unknown,never,no
36,350,may,never,unknown,never,no
40,332,may,never,unknown,never,no
53,611,may,never,unknown,never,no
34,113,may,never,unknown,never,no
37,132,may,never,unknown,never,no
42,58,may,never,unknown,never,no
41,151,may,never,unknown,never,no
30,89,may,never,unknown,never,no
37,152,may,never,unknown,never,no
39,611,may,never,unknown,never,no
41,110,may,never,unknown,never,no
40,463,may,never,unknown,never,no
42,562,may,never,unknown,never,yes
40,962,may,never,unknown,never,no
57,10,may,never,unknown,never,no
56,118,may,never,unknown,never,no
37,92,may,never,unknown,never,no
59,143,may,never,unknown,never,no
39,189,may,never,unknown,never,no
49,234,may,never,unknown,never,no
38,75,may,never,unknown,never,no
36,189,may,never,unknown,never,no
50,621,may,never,unknown,never,no
41,55,may,never,unknown,never,no
54,310,may,never,unknown,never,no
58,156,may,never,unknown,never,no
30,5,may,never,unknown,never,no
33,225,may,never,unknown,never,no
47,125,may,never,unknown,never,no
50,2,may,never,unknown,never,no
32,286,may,never,unknown,never,no
40,164,may,never,unknown,never,no
37,98,may,never,unknown,never,no
54,742,may,never,unknown,never,no
24,226,may,never,unknown,never,no
54,120,may,never,unknown,never,no
34,362,may,never,unknown,never,no
56,357,may,never,unknown,never,no
31,200,may,never,unknown,never,no
24,204,may,never,unknown,never,no
42,126,may,never,unknown,never,no
57,65,may,never,unknown,never,no
42,107,may,never,unknown,never,no
51,267,may,never,unknown,never,no
57,248,may,never,unknown,never,no
36,215,may,never,unknown,never,no
53,209,may,never,unknown,never,no
50,205,may,never,unknown,never,no
54,83,may,never,unknown,never,no
55,106,may,never,unknown,never,no
44,189,may,never,unknown,never,no
43,105,may,never,unknown,never,no
56,106,may,never,unknown,never,no
54,108,may,never,unknown,never,no
55,311,may,never,unknown,never,no
37,214,may,never,unknown,never,no
33,132,may,never,unknown,never,no
46,358,may,never,unknown,never,no
36,453,may,never,unknown,never,no
51,364,may,never,unknown,never,no
40,136,may,never,unknown,never,no
42,386,may,never,unknown,never,no
51,173,may,never,unknown,never,no
49,241,may,never,unknown,never,no
48,224,may,never,unknown,never,no
32,148,may,never,unknown,never,no
31,196,may,never,unknown,never,no
55,111,may,never,unknown,never,no
40,231,may,never,unknown,never,no
47,316,may,never,unknown,never,no
57,216,may,never,unknown,never,no
41,240,may,never,unknown,never,no
48,669,may,never,unknown,never,no
42,425,may,never,unknown,never,no
30,143,may,never,unknown,never,no
58,174,may,never,unknown,never,no
45,313,may,never,unknown,never,no
49,135,may,never,unknown,never,no
42,146,may,never,unknown,never,no
53,152,may,never,unknown,never,no
51,402,may,never,unknown,never,no
32,213,may,never,unknown,never,no
41,144,may,never,unknown,never,no
43,124,may,never,unknown,never,no
40,183,may,never,unknown,never,no
50,325,may,never,unknown,never,no
34,39,may,never,unknown,never,no
53,503,may,never,unknown,never,no
45,95,may,never,unknown,never,no
39,680,may,never,unknown,never,no
44,421,may,never,unknown,never,no
55,174,may,never,unknown,never,no
46,113,may,never,unknown,never,no
45,808,may,never,unknown,never,no
34,198,may,never,unknown,never,no
36,195,may,never,unknown,never,no
59,347,may,never,unknown,never,no
31,208,may,never,unknown,never,no
44,404,may,never,unknown,never,no
33,396,may,never,unknown,never,no
40,216,may,never,unknown,never,no
46,98,may,never,unknown,never,no
48,350,may,never,unknown,never,no
42,114,may,never,unknown,never,no
27,88,may,never,unknown,never,no
48,379,may,never,unknown,never,no
59,190,may,never,unknown,never,no
46,158,may,never,unknown,never,no
38,102,may,never,unknown,never,no
43,306,may,never,unknown,never,no
38,218,may,never,unknown,never,no
23,54,may,never,unknown,never,no
34,344,may,never,unknown,never,no
38,195,may,never,unknown,never,no
37,652,may,never,unknown,never,no
25,286,may,never,unknown,never,no
48,189,may,never,unknown,never,no
49,83,may,never,unknown,never,no
38,184,may,never,unknown,never,no
43,235,may,never,unknown,never,no
33,290,may,never,unknown,never,no
55,232,may,never,unknown,never,no
38,133,may,never,unknown,never,no
49,318,may,never,unknown,never,no
40,260,may,never,unknown,never,no
43,437,may,never,unknown,never,no
38,402,may,never,unknown,never,no
58,85,may,never,unknown,never,no
57,125,may,never,unknown,never,no
32,501,may,never,unknown,never,no
56,1201,may,never,unknown,never,yes
58,253,may,never,unknown,never,no
60,1030,may,never,unknown,never,yes
37,149,may,never,unknown,never,no
46,114,may,never,unknown,never,no
27,243,may,never,unknown,never,no
43,769,may,never,unknown,never,no
32,135,may,never,unknown,never,no
40,231,may,never,unknown,never,no
38,76,may,never,unknown,never,no
34,199,may,never,unknown,never,no
47,152,may,never,unknown,never,no
42,124,may,never,unknown,never,no
48,424,may,never,unknown,never,no
29,43,may,never,unknown,never,no
50,154,may,never,unknown,never,no
52,203,may,never,unknown,never,no
50,326,may,never,unknown,never,no
58,393,may,never,unknown,never,no
46,241,may,never,unknown,never,no
38,483,may,never,unknown,never,no
46,259,may,never,unknown,never,no
32,227,may,never,unknown,never,no
51,673,may,never,unknown,never,no
39,576,may,never,unknown,never,no
48,180,may,never,unknown,never,no
36,168,may,never,unknown,never,no
34,90,may,never,unknown,never,no
40,505,may,never,unknown,never,no
43,245,may,never,unknown,never,no
52,186,may,never,unknown,never,no
33,623,may,never,unknown,never,no
49,496,may,never,unknown,never,no
32,118,may,never,unknown,never,no
39,342,may,never,unknown,never,no
40,225,may,never,unknown,never,no
38,185,may,never,unknown,never,no
43,196,may,never,unknown,never,no
39,276,may,never,unknown,never,no
54,76,may,never,unknown,never,no
38,87,may,never,unknown,never,no
40,195,may,never,unknown,never,no
55,744,may,never,unknown,never,no
42,765,may,never,unknown,never,no
39,262,may,never,unknown,never,no
40,119,may,never,unknown,never,no
32,198,may,never,unknown,never,no
55,150,may,never,unknown,never,no
45,241,may,never,unknown,never,no
35,181,may,never,unknown,never,no
58,196,may,never,unknown,never,no
35,149,may,never,unknown,never,no
49,246,may,never,unknown,never,no
34,112,may,never,unknown,never,no
36,309,may,never,unknown,never,no
24,278,may,never,unknown,never,no
34,140,may,never,unknown,never,no
51,136,may,never,unknown,never,no
39,1623,may,never,unknown,never,yes
50,101,may,never,unknown,never,no
32,144,may,never,unknown,never,no
42,238,may,never,unknown,never,no
50,354,may,never,unknown,never,no
40,79,may,never,unknown,never,no
46,187,may,never,unknown,never,no
37,451,may,never,unknown,never,no
34,159,may,never,unknown,never,no
44,409,may,never,unknown,never,no
40,170,may,never,unknown,never,no
37,608,may,never,unknown,never,yes
33,243,may,never,unknown,never,no
35,145,may,never,unknown,never,no
58,112,may,never,unknown,never,no
39,262,may,never,unknown,never,no
43,124,may,never,unknown,never,no
39,53,may,never,unknown,never,no
36,134,may,never,unknown,never,no
57,204,may,never,unknown,never,no
36,186,may,never,unknown,never,no
50,678,may,never,unknown,never,no
55,182,may,never,unknown,never,no
44,162,may,never,unknown,never,no
44,27,may,never,unknown,never,no
39,699,may,never,unknown,never,no
46,43,may,never,unknown,never,no
39,97,may,never,unknown,never,no
34,1677,may,never,unknown,never,yes
40,283,may,never,unknown,never,no
50,323,may,never,unknown,never,no
31,82,may,never,unknown,never,no
37,310,may,never,unknown,never,no
39,185,may,never,unknown,never,no
51,47,may,never,unknown,never,no
41,145,may,never,unknown,never,no
41,204,may,never,unknown,never,no
43,187,may,never,unknown,never,no
30,30,may,never,unknown,never,no
54,472,may,never,unknown,never,no
43,448,may,never,unknown,never,no
59,264,may,never,unknown,never,no
47,169,may,never,unknown,never,no
40,288,may,never,unknown,never,no
32,176,may,never,unknown,never,no
29,215,may,never,unknown,never,no
36,337,may,never,unknown,never,no
55,278,may,never,unknown,never,no
30,188,may,never,unknown,never,no
39,174,may,never,unknown,never,no
39,226,may,never,unknown,never,no
50,190,may,never,unknown,never,no
44,111,may,never,unknown,never,no
37,164,may,never,unknown,never,no
46,157,may,never,unknown,never,no
32,46,may,never,unknown,never,no
37,374,may,never,unknown,never,no
29,349,may,never,unknown,never,no
41,325,may,never,unknown,never,no
45,233,may,never,unknown,never,no
57,531,may,never,unknown,never,no
48,153,may,never,unknown,never,no
60,80,may,never,unknown,never,no
26,232,may,never,unknown,never,no
58,118,may,never,unknown,never,no
34,190,may,never,unknown,never,no
55,918,may,never,unknown,never,yes
41,238,may,never,unknown,never,no
50,82,may,never,unknown,never,no
49,198,may,never,unknown,never,no
44,160,may,never,unknown,never,no
44,211,may,never,unknown,never,no
31,120,may,never,unknown,never,no
34,136,may,never,unknown,never,no
46,269,may,never,unknown,never,no
42,157,may,never,unknown,never,no
52,128,may,never,unknown,never,no
29,211,may,never,unknown,never,no
53,267,may,never,unknown,never,no
43,371,may,never,unknown,never,no
38,288,may,never,unknown,never,no
46,221,may,never,unknown,never,no
48,427,may,never,unknown,never,no
30,310,may,never,unknown,never,no
44,158,may,never,unknown,never,no
31,604,may,never,unknown,never,no
42,198,may,never,unknown,never,no
40,145,may,never,unknown,never,no
52,247,may,never,unknown,never,no
45,179,may,never,unknown,never,no
48,73,may,never,unknown,never,no
45,263,may,never,unknown,never,no
34,13,may,never,unknown,never,no
34,79,may,never,unknown,never,no
46,416,may,never,unknown,never,no
49,162,may,never,unknown,never,no
50,129,may,never,unknown,never,no
34,150,may,never,unknown,never,no
40,43,may,never,unknown,never,no
36,191,may,never,unknown,never,no
59,26,may,never,unknown,never,no
45,250,may,never,unknown,never,no
36,146,may,never,unknown,never,no
56,416,may,never,unknown,never,no
42,121,may,never,unknown,never,no
30,114,may,never,unknown,never,no
30,289,may,never,unknown,never,no
47,225,may,never,unknown,never,no
33,123,may,never,unknown,never,no
36,130,may,never,unknown,never,no
39,161,may,never,unknown,never,no
56,149,may,never,unknown,never,no
39,268,may,never,unknown,never,no
42,259,may,never,unknown,never,no
52,26,may,never,unknown,never,no
36,153,may,never,unknown,never,no
35,424,may,never,unknown,never,no
47,179,may,never,unknown,never,no
59,97,may,never,unknown,never,no
57,383,may,never,unknown,never,no
38,440,may,never,unknown,never,no
46,23,may,never,unknown,never,no
34,195,may,never,unknown,never,no
28,1297,may,never,unknown,never,yes
38,87,may,never,unknown,never,no
56,427,may,never,unknown,never,no
41,189,may,never,unknown,never,no
52,195,may,never,unknown,never,no
54,179,may,never,unknown,never,no
61,179,may,never,unknown,never,no
53,69,may,never,unknown,never,no
47,105,may,never,unknown,never,no
53,266,may,never,unknown,never,no
46,524,may,never,unknown,never,no
39,96,may,never,unknown,never,no
56,155,may,never,unknown,never,no
55,162,may,never,unknown,never,no
44,352,may,never,unknown,never,no
37,76,may,never,unknown,never,no
35,154,may,never,unknown,never,no
55,310,may,never,unknown,never,no
37,390,may,never,unknown,never,no
30,369,may,never,unknown,never,no
37,112,may,never,unknown,never,no
36,341,may,never,unknown,never,no
38,79,may,never,unknown,never,no
41,140,may,never,unknown,never,no
48,315,may,never,unknown,never,no
55,262,may,never,unknown,never,no
28,174,may,never,unknown,never,no
54,138,may,never,unknown,never,no
30,526,may,never,unknown,never,no
48,135,may,never,unknown,never,no
31,36,may,never,unknown,never,no
38,1906,may,never,unknown,never,no
37,219,may,never,unknown,never,no
37,147,may,never,unknown,never,no
56,407,may,never,unknown,never,no
51,121,may,never,unknown,never,no
39,209,may,never,unknown,never,no
49,92,may,never,unknown,never,no
51,208,may,never,unknown,never,no
43,193,may,never,unknown,never,no
32,144,may,never,unknown,never,no
29,65,may,never,unknown,never,no
48,339,may,never,unknown,never,no
55,285,may,never,unknown,never,no
53,231,may,never,unknown,never,no
47,168,may,never,unknown,never,no
39,278,may,never,unknown,never,no
31,389,may,never,unknown,never,no
39,158,may,never,unknown,never,no
40,145,may,never,unknown,never,no
40,78,may,never,unknown,never,no
48,142,may,never,unknown,never,no
33,87,may,never,unknown,never,no
40,147,may,never,unknown,never,no
59,289,may,never,unknown,never,no
30,703,may,never,unknown,never,yes
31,170,may,never,unknown,never,no
35,802,may,never,unknown,never,no
54,381,may,never,unknown,never,no
34,218,may,never,unknown,never,no
32,57,may,never,unknown,never,no
56,304,may,never,unknown,never,no
32,241,may,never,unknown,never,no
42,230,may,never,unknown,never,no
33,262,may,never,unknown,never,no
52,392,may,never,unknown,never,no
52,201,may,never,unknown,never,no
52,145,may,never,unknown,never,no
30,252,may,never,unknown,never,no
44,235,may,never,unknown,never,no
35,235,may,never,unknown,never,no
55,328,may,never,unknown,never,no
33,116,may,never,unknown,never,no
37,246,may,never,unknown,never,no
42,293,may,never,unknown,never,no
43,37,may,never,unknown,never,no
38,132,may,never,unknown,never,no
37,530,may,never,unknown,never,no
31,175,may,never,unknown,never,no
41,524,may,never,unknown,never,no
41,29,may,never,unknown,never,no
29,311,may,never,unknown,never,no
38,211,may,never,unknown,never,no
44,312,may,never,unknown,never,no
39,412,may,never,unknown,never,no
28,392,may,never,unknown,never,no
33,191,may,never,unknown,never,no
41,284,may,never,unknown,never,no
40,144,may,never,unknown,never,no
29,328,may,never,unknown,never,no
38,100,may,never,unknown,never,no
32,226,may,never,unknown,never,no
45,507,may,never,unknown,never,no
33,392,may,never,unknown,never,no
34,684,may,never,unknown,never,no
41,333,may,never,unknown,never,no
41,311,may,never,unknown,never,no
35,128,may,never,unknown,never,no
40,322,may,never,unknown,never,no
60,202,may,never,unknown,never,no
47,92,may,never,unknown,never,no
46,739,may,never,unknown,never,no
31,273,may,never,unknown,never,no
49,260,may,never,unknown,never,no
29,268,may,never,unknown,never,no
31,396,may,never,unknown,never,no
38,262,may,never,unknown,never,no
37,308,may,never,unknown,never,no
35,467,may,never,unknown,never,no
31,320,may,never,unknown,never,no
41,160,may,never,unknown,never,no
46,245,may,never,unknown,never,no
40,189,may,never,unknown,never,no
29,477,may,never,unknown,never,no
49,310,may,never,unknown,never,no
42,65,may,never,unknown,never,no
54,196,may,never,unknown,never,no
40,221,may,never,unknown,never,no
53,197,may,never,unknown,never,no
49,221,may,never,unknown,never,no
40,64,may,never,unknown,never,no
29,75,may,never,unknown,never,no
36,400,may,never,unknown,never,no
37,378,may,never,unknown,never,no
39,118,may,never,unknown,never,no
36,1597,may,never,unknown,never,yes
44,346,may,never,unknown,never,no
40,60,may,never,unknown,never,no
49,276,may,never,unknown,never,no
30,152,may,never,unknown,never,no
57,251,may,never,unknown,never,no
24,390,may,never,unknown,never,no
46,306,may,never,unknown,never,no
33,189,may,never,unknown,never,no
43,125,may,never,unknown,never,no
43,234,may,never,unknown,never,no
40,79,may,never,unknown,never,no
44,13,may,never,unknown,never,no
35,283,may,never,unknown,never,no
47,109,may,never,unknown,never,no
33,132,may,never,unknown,never,no
31,144,may,never,unknown,never,no
40,121,may,never,unknown,never,no
36,95,may,never,unknown,never,no
56,31,may,never,unknown,never,no
40,112,may,never,unknown,never,no
41,87,may,never,unknown,never,no
53,593,may,never,unknown,never,no
39,99,may,never,unknown,never,no
44,198,may,never,unknown,never,no
38,285,may,never,unknown,never,no
54,190,may,never,unknown,never,no
58,172,may,never,unknown,never,no
52,213,may,never,unknown,never,no
28,178,may,never,unknown,never,no
36,174,may,never,unknown,never,no
60,631,may,never,unknown,never,no
42,176,may,never,unknown,never,no
42,32,may,never,unknown,never,no
44,1529,may,never,unknown,never,no
51,254,may,never,unknown,never,no
49,200,may,never,unknown,never,no
47,135,may,never,unknown,never,no
37,112,may,never,unknown,never,no
34,314,may,never,unknown,never,no
35,597,may,never,unknown,never,no
35,207,may,never,unknown,never,no
40,410,may,never,unknown,never,no
55,160,may,never,unknown,never,no
55,42,may,never,unknown,never,no
35,55,may,never,unknown,never,no
57,155,may,never,unknown,never,no
53,336,may,never,unknown,never,no
41,233,may,never,unknown,never,no
57,211,may,never,unknown,never,no
45,88,may,never,unknown,never,no
43,208,may,never,unknown,never,no
56,305,may,never,unknown,never,no
31,206,may,never,unknown,never,no
37,128,may,never,unknown,never,no
30,122,may,never,unknown,never,no
30,66,may,never,unknown,never,no
54,66,may,never,unknown,never,no
36,164,may,never,unknown,never,no
55,343,may,never,unknown,never,no
37,126,may,never,unknown,never,no
38,59,may,never,unknown,never,no
48,249,may,never,unknown,never,no
55,406,may,never,unknown,never,no
59,250,may,never,unknown,never,no
37,183,may,never,unknown,never,no
33,190,may,never,unknown,never,no
44,220,may,never,unknown,never,no
57,153,may,never,unknown,never,no
30,95,may,never,unknown,never,no
42,191,may,never,unknown,never,no
51,216,may,never,unknown,never,no
44,89,may,never,unknown,never,no
46,51,may,never,unknown,never,no
29,169,may,never,unknown,never,no
39,148,may,never,unknown,never,no
42,132,may,never,unknown,never,no
50,117,may,never,unknown,never,no
42,275,may,never,unknown,never,no
39,124,may,never,unknown,never,no
55,118,may,never,unknown,never,no
46,479,may,never,unknown,never,no
42,285,may,never,unknown,never,no
45,35,may,never,unknown,never,no
43,322,may,never,unknown,never,no
42,202,may,never,unknown,never,no
30,172,may,never,unknown,never,no
47,201,may,never,unknown,never,no
51,216,may,never,unknown,never,no
38,195,may,never,unknown,never,no
57,96,may,never,unknown,never,no
42,720,may,never,unknown,never,no
32,188,may,never,unknown,never,no
46,70,may,never,unknown,never,no
29,141,may,never,unknown,never,no
59,106,may,never,unknown,never,no
32,395,may,never,unknown,never,no
44,629,may,never,unknown,never,no
40,502,may,never,unknown,never,no
31,446,may,never,unknown,never,no
46,241,may,never,unknown,never,no
43,131,may,never,unknown,never,no
34,312,may,never,unknown,never,no
39,275,may,never,unknown,never,no
30,120,may,never,unknown,never,no
56,333,may,never,unknown,never,no
29,113,may,never,unknown,never,no
40,91,may,never,unknown,never,no
36,128,may,never,unknown,never,no
37,200,may,never,unknown,never,no
35,326,may,never,unknown,never,no
35,292,may,never,unknown,never,no
47,68,may,never,unknown,never,no
31,215,may,never,unknown,never,no
56,97,may,never,unknown,never,no
57,32,may,never,unknown,never,no
36,162,may,never,unknown,never,no
45,152,may,never,unknown,never,no
47,268,may,never,unknown,never,no
29,104,may,never,unknown,never,no
57,852,may,never,unknown,never,no
45,923,may,never,unknown,never,no
31,159,may,never,unknown,never,no
31,953,may,never,unknown,never,no
37,416,may,never,unknown,never,no
30,174,may,never,unknown,never,no
58,180,may,never,unknown,never,no
33,139,may,never,unknown,never,no
39,294,may,never,unknown,never,no
33,102,may,never,unknown,never,no
34,124,may,never,unknown,never,no
36,128,may,never,unknown,never,no
37,130,may,never,unknown,never,no
35,143,may,never,unknown,never,no
55,74,may,never,unknown,never,no
34,105,may,never,unknown,never,no
40,477,may,never,unknown,never,no
42,158,may,never,unknown,never,no
37,250,may,never,unknown,never,no
42,168,may,never,unknown,never,no
35,520,may,never,unknown,never,no
44,171,may,never,unknown,never,no
30,113,may,never,unknown,never,no
45,254,may,never,unknown,never,no
35,149,may,never,unknown,never,no
36,133,may,never,unknown,never,no
49,293,may,never,unknown,never,no
31,485,may,never,unknown,never,no
31,374,may,never,unknown,never,no
39,425,may,never,unknown,never,no
37,207,may,never,unknown,never,no
33,83,may,never,unknown,never,no
37,228,may,never,unknown,never,no
42,149,may,never,unknown,never,no
56,139,may,never,unknown,never,no
37,732,may,never,unknown,never,yes
36,142,may,never,unknown,never,no
29,359,may,never,unknown,never,no
54,112,may,never,unknown,never,no
38,1521,may,never,unknown,never,no
43,216,may,never,unknown,never,no
47,161,may,never,unknown,never,no
47,122,may,never,unknown,never,no
38,800,may,never,unknown,never,no
40,615,may,never,unknown,never,no
33,254,may,never,unknown,never,no
33,111,may,never,unknown,never,no
53,354,may,never,unknown,never,no
37,359,may,never,unknown,never,no
40,97,may,never,unknown,never,no
37,327,may,never,unknown,never,no
35,236,may,never,unknown,never,no
49,160,may,never,unknown,never,no
26,180,may,never,unknown,never,no
38,184,may,never,unknown,never,no
52,227,may,never,unknown,never,no
