age,balance,campaign,contact,day,default,duration,education,housing,job,loan,marital,month,pdays,poutcome,previous,y
60,104,1,unknown,5,no,22,unknown,yes,employed,no,married,may,-1,unknown,0,no
54,529,1,unknown,5,no,1492,secondary,yes,unemployed,no,married,may,-1,unknown,0,no
58,96,1,unknown,5,no,616,unknown,yes,unemployed,no,married,may,-1,unknown,0,no
36,-171,1,unknown,5,no,242,primary,yes,employed,no,single,may,-1,unknown,0,no
58,-364,1,unknown,5,no,355,tertiary,yes,employed,no,married,may,-1,unknown,0,no
44,0,2,unknown,5,no,225,secondary,yes,employed,no,married,may,-1,unknown,0,no
55,0,1,unknown,5,no,160,secondary,no,employed,no,divorced,may,-1,unknown,0,no
29,0,1,unknown,5,no,363,tertiary,yes,employed,no,single,may,-1,unknown,0,no
54,1291,1,unknown,5,no,266,secondary,yes,employed,no,married,may,-1,unknown,0,no
48,-244,1,unknown,5,no,253,tertiary,yes,employed,no,divorced,may,-1,unknown,0,no
32,0,1,unknown,5,no,179,tertiary,yes,employed,no,married,may,-1,unknown,0,no
42,-76,1,unknown,5,no,787,secondary,yes,employed,no,single,may,-1,unknown,0,no
24,-103,1,unknown,5,no,145,secondary,yes,employed,yes,single,may,-1,unknown,0,no
38,243,1,unknown,5,no,174,tertiary,no,employed,yes,single,may,-1,unknown,0,no
38,424,1,unknown,5,no,104,tertiary,yes,employed,no,single,may,-1,unknown,0,no
47,306,1,unknown,5,no,13,unknown,yes,employed,no,married,may,-1,unknown,0,no
40,24,1,unknown,5,no,185,unknown,yes,employed,no,single,may,-1,unknown,0,no
46,179,1,unknown,5,no,1778,primary,yes,employed,no,married,may,-1,unknown,0,no
32,0,1,unknown,5,no,138,tertiary,yes,employed,no,married,may,-1,unknown,0,no
53,989,1,unknown,5,no,812,secondary,yes,employed,no,divorced,may,-1,unknown,0,no
57,249,1,unknown,5,no,164,primary,yes,employed,no,married,may,-1,unknown,0,no
33,790,1,unknown,5,no,391,secondary,yes,employed,no,married,may,-1,unknown,0,no
49,154,1,unknown,5,no,357,unknown,yes,employed,no,married,may,-1,unknown,0,no
51,6530,1,unknown,5,no,91,tertiary,yes,employed,no,married,may,-1,unknown,0,no
60,100,1,unknown,5,no,528,tertiary,no,unemployed,no,married,may,-1,unknown,0,no
59,59,1,unknown,5,no,273,tertiary,yes,employed,no,divorced,may,-1,unknown,0,no
55,1205,2,unknown,5,no,158,secondary,yes,employed,no,married,may,-1,unknown,0,no
35,12223,1,unknown,5,no,177,secondary,yes,employed,yes,single,may,-1,unknown,0,no
57,5935,1,unknown,5,no,258,secondary,yes,employed,yes,married,may,-1,unknown,0,no
31,25,1,unknown,5,no,172,secondary,yes,employed,yes,married,may,-1,unknown,0,no
54,282,1,unknown,5,no,154,secondary,yes,employed,yes,married,may,-1,unknown,0,no
55,23,1,unknown,5,no,291,primary,yes,employed,no,married,may,-1,unknown,0,no
43,1937,1,unknown,5,no,181,secondary,yes,employed,no,married,may,-1,unknown,0,no
53,384,1,unknown,5,no,176,secondary,yes,employed,no,married,may,-1,unknown,0,no
44,582,1,unknown,5,no,211,secondary,no,employed,yes,married,may,-1,unknown,0,no
55,91,1,unknown,5,no,349,secondary,no,employed,no,divorced,may,-1,unknown,0,no
49,0,1,unknown,5,no,272,secondary,yes,employed,yes,divorced,may,-1,unknown,0,no
55,1,1,unknown,5,yes,208,secondary,yes,employed,no,divorced,may,-1,unknown,0,no
45,206,1,unknown,5,no,193,secondary,yes,employed,no,single,may,-1,unknown,0,no
47,164,1,unknown,5,no,212,secondary,no,employed,no,divorced,may,-1,unknown,0,no
42,690,1,unknown,5,no,20,secondary,yes,employed,no,single,may,-1,unknown,0,no
59,2343,1,unknown,5,no,1042,secondary,yes,employed,no,married,may,-1,unknown,0,yes
46,137,1,unknown,5,no,246,tertiary,yes,employed,yes,married,may,-1,unknown,0,no
51,173,2,unknown,5,no,529,primary,yes,employed,no,married,may,-1,unknown,0,no
56,45,1,unknown,5,no,1467,secondary,no,employed,no,married,may,-1,unknown,0,yes
41,1270,1,unknown,5,no,1389,secondary,yes,employed,no,married,may,-1,unknown,0,yes
46,16,2,unknown,5,no,188,secondary,yes,employed,yes,divorced,may,-1,unknown,0,no
57,486,2,unknown,5,no,180,secondary,yes,unemployed,no,married,may,-1,unknown,0,no
42,50,1,unknown,5,no,48,secondary,no,employed,no,single,may,-1,unknown,0,no
30,152,2,unknown,5,no,213,secondary,yes,employed,yes,married,may,-1,unknown,0,no
60,290,1,unknown,5,no,583,secondary,yes,employed,no,married,may,-1,unknown,0,no
60,54,1,unknown,5,no,221,unknown,yes,employed,no,married,may,-1,unknown,0,no
57,-37,1,unknown,5,no,173,secondary,no,employed,no,divorced,may,-1,unknown,0,no
36,101,1,unknown,5,no,426,tertiary,yes,employed,yes,married,may,-1,unknown,0,no
55,383,1,unknown,5,no,287,secondary,no,employed,no,married,may,-1,unknown,0,no
60,81,1,unknown,5,no,101,tertiary,yes,unemployed,no,married,may,-1,unknown,0,no
39,0,1,unknown,5,no,203,secondary,yes,employed,no,married,may,-1,unknown,0,no
46,229,1,unknown,5,no,197,tertiary,yes,employed,no,married,may,-1,unknown,0,no
44,-674,1,unknown,5,no,257,secondary,yes,employed,no,married,may,-1,unknown,0,no
53,90,1,unknown,5,no,124,primary,no,employed,no,married,may,-1,unknown,0,no
52,128,1,unknown,5,no,229,primary,yes,employed,no,married,may,-1,unknown,0,no
59,179,3,unknown,5,no,55,primary,yes,employed,no,married,may,-1,unknown,0,no
27,0,1,unknown,5,no,400,tertiary,yes,employed,no,single,may,-1,unknown,0,no
44,54,1,unknown,5,no,197,secondary,yes,employed,no,married,may,-1,unknown,0,no
47,151,1,unknown,5,no,190,tertiary,yes,employed,no,married,may,-1,unknown,0,no
34,61,1,unknown,5,no,21,secondary,no,employed,yes,married,may,-1,unknown,0,no
59,30,1,unknown,5,no,514,secondary,yes,unemployed,no,single,may,-1,unknown,0,no
45,523,2,unknown,5,no,849,tertiary,yes,employed,no,married,may,-1,unknown,0,no
29,31,1,unknown,5,no,194,secondary,yes,employed,no,divorced,may,-1,unknown,0,no
46,79,1,unknown,5,no,144,secondary,no,employed,no,divorced,may,-1,unknown,0,no
56,-34,2,unknown,5,no,212,primary,yes,employed,yes,married,may,-1,unknown,0,no
36,448,1,unknown,5,no,286,primary,yes,employed,no,married,may,-1,unknown,0,no
59,81,1,unknown,5,no,107,primary,yes,unemployed,no,divorced,may,-1,unknown,0,no
44,144,2,unknown,5,no,247,secondary,yes,employed,no,married,may,-1,unknown,0,no
41,351,1,unknown,5,no,518,secondary,yes,employed,no,married,may,-1,unknown,0,no
33,-67,1,unknown,5,no,364,tertiary,yes,employed,no,single,may,-1,unknown,0,no
59,262,1,unknown,5,no,178,tertiary,no,employed,no,divorced,may,-1,unknown,0,no
57,0,1,unknown,5,no,98,primary,no,employed,no,married,may,-1,unknown,0,no
56,56,1,unknown,5,no,439,unknown,yes,employed,no,divorced,may,-1,unknown,0,no
51,26,1,unknown,5,no,79,secondary,yes,employed,no,married,may,-1,unknown,0,no
34,3,3,unknown,5,no,120,unknown,yes,employed,no,married,may,-1,unknown,0,no
43,41,2,unknown,5,no,127,secondary,yes,employed,yes,married,may,-1,unknown,0,no
52,7,1,unknown,5,no,175,tertiary,no,employed,yes,married,may,-1,unknown,0,no
33,105,2,unknown,5,no,262,secondary,yes,employed,no,single,may,-1,unknown,0,no
29,818,1,unknown,5,no,61,secondary,yes,employed,yes,single,may,-1,unknown,0,no
34,-16,1,unknown,5,no,78,secondary,yes,employed,yes,married,may,-1,unknown,0,no
31,0,1,unknown,5,no,143,secondary,yes,employed,no,married,may,-1,unknown,0,no
55,2476,1,unknown,5,no,579,secondary,yes,employed,no,married,may,-1,unknown,0,yes
55,1185,1,unknown,5,no,677,unknown,no,employed,no,married,may,-1,unknown,0,no
32,217,1,unknown,5,no,345,secondary,yes,employed,no,single,may,-1,unknown,0,no
38,1685,1,unknown,5,no,185,secondary,yes,employed,no,single,may,-1,unknown,0,no
55,802,2,unknown,5,no,100,secondary,yes,employed,yes,single,may,-1,unknown,0,no
28,0,2,unknown,5,no,125,tertiary,yes,unemployed,no,single,may,-1,unknown,0,no
23,94,1,unknown,5,no,193,secondary,yes,employed,no,married,may,-1,unknown,0,no
32,0,1,unknown,5,no,136,secondary,yes,employed,no,single,may,-1,unknown,0,no
43,0,1,unknown,5,no,73,unknown,no,employed,no,single,may,-1,unknown,0,no
32,517,1,unknown,5,no,528,secondary,yes,employed,no,married,may,-1,unknown,0,no
46,265,1,unknown,5,no,541,secondary,yes,employed,no,married,may,-1,unknown,0,no
53,947,1,unknown,5,no,163,primary,yes,employed,no,divorced,may,-1,unknown,0,no
34,3,1,unknown,5,no,301,secondary,yes,employed,no,single,may,-1,unknown,0,no
57,42,1,unknown,5,no,46,tertiary,no,unemployed,no,married,may,-1,unknown,0,no
37,37,1,unknown,5,no,204,secondary,yes,employed,no,married,may,-1,unknown,0,no
59,57,1,unknown,5,no,98,secondary,yes,employed,no,married,may,-1,unknown,0,no
33,22,1,unknown,5,no,71,secondary,yes,employed,no,married,may,-1,unknown,0,no
56,8,2,unknown,5,no,157,primary,yes,employed,no,divorced,may,-1,unknown,0,no
48,293,1,unknown,5,no,243,secondary,yes,unemployed,no,married,may,-1,unknown,0,no
43,3,2,unknown,5,no,186,primary,yes,employed,no,married,may,-1,unknown,0,no
54,348,2,unknown,5,no,579,primary,yes,employed,no,married,may,-1,unknown,0,no
51,-19,2,unknown,5,no,163,unknown,yes,employed,no,married,may,-1,unknown,0,no
26,0,2,unknown,5,no,610,secondary,yes,unemployed,no,single,may,-1,unknown,0,no
40,-4,1,unknown,5,no,2033,tertiary,yes,employed,no,married,may,-1,unknown,0,no
39,18,1,unknown,5,no,85,secondary,yes,employed,no,married,may,-1,unknown,0,no
50,139,2,unknown,5,no,114,primary,no,employed,no,married,may,-1,unknown,0,no
41,0,2,unknown,5,no,114,secondary,yes,employed,no,married,may,-1,unknown,0,no
51,1883,1,unknown,5,no,57,unknown,yes,employed,no,married,may,-1,unknown,0,no
60,216,1,unknown,5,no,238,secondary,yes,unemployed,no,divorced,may,-1,unknown,0,no
52,782,3,unknown,5,no,93,secondary,yes,employed,no,married,may,-1,unknown,0,no
48,904,2,unknown,5,no,128,secondary,yes,employed,no,married,may,-1,unknown,0,no
48,1705,1,unknown,5,no,107,unknown,yes,employed,no,married,may,-1,unknown,0,no
39,47,1,unknown,5,no,181,tertiary,yes,employed,no,single,may,-1,unknown,0,no
47,176,2,unknown,5,no,303,secondary,yes,employed,no,single,may,-1,unknown,0,no
40,1225,5,unknown,5,no,558,secondary,yes,employed,no,married,may,-1,unknown,0,no
45,86,1,unknown,5,no,270,secondary,yes,employed,no,married,may,-1,unknown,0,no
26,82,1,unknown,5,no,228,secondary,yes,employed,no,single,may,-1,unknown,0,no
52,271,1,unknown,5,no,99,tertiary,yes,employed,no,married,may,-1,unknown,0,no
54,1378,1,unknown,5,no,240,secondary,yes,employed,no,married,may,-1,unknown,0,no
54,184,2,unknown,5,no,673,tertiary,no,employed,no,married,may,-1,unknown,0,yes
50,0,3,unknown,5,no,233,primary,no,employed,no,married,may,-1,unknown,0,no
35,0,1,unknown,5,no,1056,secondary,yes,employed,no,married,may,-1,unknown,0,no
44,1357,1,unknown,5,no,250,secondary,yes,employed,yes,married,may,-1,unknown,0,no
53,19,1,unknown,5,no,252,unknown,yes,employed,no,married,may,-1,unknown,0,no
35,434,1,unknown,5,no,138,primary,no,unemployed,no,single,may,-1,unknown,0,no
60,92,1,unknown,5,no,130,secondary,yes,employed,no,divorced,may,-1,unknown,0,no
53,1151,1,unknown,5,no,412,secondary,yes,employed,no,divorced,may,-1,unknown,0,no
48,41,2,unknown,5,no,179,secondary,yes,unemployed,no,married,may,-1,unknown,0,no
34,51,2,unknown,5,no,19,secondary,yes,employed,no,married,may,-1,unknown,0,no
54,214,2,unknown,5,no,458,secondary,yes,employed,no,married,may,-1,unknown,0,no
51,1161,1,unknown,5,no,717,secondary,yes,employed,no,married,may,-1,unknown,0,no
31,37,1,unknown,5,no,313,tertiary,yes,employed,no,married,may,-1,unknown,0,no
35,787,2,unknown,5,no,683,secondary,yes,employed,no,divorced,may,-1,unknown,0,no
35,59,1,unknown,5,no,1077,secondary,yes,employed,no,married,may,-1,unknown,0,no
38,253,1,unknown,5,no,416,secondary,yes,employed,no,married,may,-1,unknown,0,no
36,211,2,unknown,5,no,146,tertiary,yes,employed,no,married,may,-1,unknown,0,no
58,235,1,unknown,5,no,167,primary,yes,unemployed,no,married,may,-1,unknown,0,no
40,4384,1,unknown,5,no,315,unknown,yes,employed,no,divorced,may,-1,unknown,0,no
54,4080,1,unknown,5,no,140,secondary,no,employed,no,married,may,-1,unknown,0,no
34,53,1,unknown,5,no,346,secondary,yes,employed,yes,single,may,-1,unknown,0,no
31,0,1,unknown,5,no,562,tertiary,yes,employed,no,single,may,-1,unknown,0,no
51,2127,1,unknown,5,no,172,secondary,yes,unemployed,no,married,may,-1,unknown,0,no
33,377,1,unknown,5,no,217,tertiary,yes,employed,no,married,may,-1,unknown,0,no
55,73,2,unknown,5,no,142,tertiary,yes,employed,no,married,may,-1,unknown,0,no
42,445,1,unknown,5,no,67,secondary,yes,employed,no,married,may,-1,unknown,0,no
34,243,1,unknown,5,no,291,secondary,yes,employed,no,married,may,-1,unknown,0,no
33,307,2,unknown,5,no,309,secondary,yes,employed,no,single,may,-1,unknown,0,no
38,155,1,unknown,5,no,248,secondary,yes,employed,no,married,may,-1,unknown,0,no
50,173,1,unknown,5,no,98,tertiary,no,employed,yes,divorced,may,-1,unknown,0,no
43,400,1,unknown,5,no,256,tertiary,yes,employed,no,married,may,-1,unknown,0,no
61,1428,2,unknown,5,no,82,primary,yes,employed,no,divorced,may,-1,unknown,0,no
47,219,1,unknown,5,no,577,secondary,yes,employed,no,married,may,-1,unknown,0,no
48,7,1,unknown,5,no,286,tertiary,yes,employed,no,married,may,-1,unknown,0,no
44,575,1,unknown,5,no,477,secondary,yes,employed,no,married,may,-1,unknown,0,no
35,298,2,unknown,5,no,611,unknown,yes,unemployed,no,single,may,-1,unknown,0,no
35,0,1,unknown,5,no,471,secondary,yes,employed,no,married,may,-1,unknown,0,no
50,5699,2,unknown,5,no,381,secondary,yes,employed,no,married,may,-1,unknown,0,no
41,176,1,unknown,5,no,42,tertiary,yes,employed,yes,married,may,-1,unknown,0,no
41,517,1,unknown,5,no,251,tertiary,yes,employed,no,married,may,-1,unknown,0,no
39,257,1,unknown,5,no,408,unknown,yes,employed,no,single,may,-1,unknown,0,no
42,56,1,unknown,5,no,215,secondary,yes,unemployed,no,married,may,-1,unknown,0,no
38,-390,1,unknown,5,no,287,secondary,yes,employed,no,married,may,-1,unknown,0,no
53,330,2,unknown,5,no,216,secondary,yes,unemployed,no,married,may,-1,unknown,0,no
59,195,2,unknown,5,no,366,primary,no,employed,no,divorced,may,-1,unknown,0,no
36,301,1,unknown,5,no,210,secondary,yes,employed,no,married,may,-1,unknown,0,no
54,-41,1,unknown,5,no,288,primary,yes,employed,no,married,may,-1,unknown,0,no
40,483,1,unknown,5,no,168,tertiary,yes,employed,no,married,may,-1,unknown,0,no
47,28,2,unknown,5,no,338,unknown,no,unknown,no,married,may,-1,unknown,0,no
53,13,3,unknown,5,no,410,unknown,no,unemployed,no,married,may,-1,unknown,0,no
46,965,1,unknown,5,no,177,primary,no,employed,no,married,may,-1,unknown,0,no
39,378,2,unknown,5,no,127,tertiary,yes,employed,yes,married,may,-1,unknown,0,no
40,219,1,unknown,5,no,357,secondary,yes,unemployed,no,married,may,-1,unknown,0,no
28,324,1,unknown,5,no,175,primary,yes,employed,no,married,may,-1,unknown,0,no
35,-69,1,unknown,5,no,300,secondary,yes,employed,no,divorced,may,-1,unknown,0,no
55,0,1,unknown,5,no,136,secondary,no,unemployed,yes,married,may,-1,unknown,0,no
43,205,1,unknown,5,no,1419,unknown,yes,employed,no,divorced,may,-1,unknown,0,no
48,278,2,unknown,5,no,125,primary,yes,employed,no,married,may,-1,unknown,0,no
58,1065,3,unknown,5,no,213,unknown,yes,employed,no,married,may,-1,unknown,0,no
33,34,1,unknown,5,no,27,tertiary,yes,employed,no,single,may,-1,unknown,0,no
36,1033,2,unknown,5,no,238,unknown,no,employed,no,married,may,-1,unknown,0,no
53,1467,1,unknown,5,no,124,secondary,yes,employed,no,divorced,may,-1,unknown,0,no
47,-12,1,unknown,5,no,18,primary,yes,employed,no,married,may,-1,unknown,0,no
31,388,2,unknown,5,no,730,secondary,yes,employed,no,married,may,-1,unknown,0,no
57,294,2,unknown,5,no,746,secondary,yes,employed,no,married,may,-1,unknown,0,no
53,1827,1,unknown,5,no,121,unknown,no,employed,no,married,may,-1,unknown,0,no
55,627,1,unknown,5,no,247,primary,yes,employed,no,married,may,-1,unknown,0,no
45,25,1,unknown,5,no,40,primary,yes,employed,no,married,may,-1,unknown,0,no
53,315,2,unknown,5,no,181,secondary,yes,employed,no,divorced,may,-1,unknown,0,no
37,0,1,unknown,5,no,79,primary,yes,employed,no,married,may,-1,unknown,0,no
44,66,1,unknown,5,no,206,secondary,yes,employed,no,divorced,may,-1,unknown,0,no
49,-9,1,unknown,5,no,389,primary,yes,employed,yes,divorced,may,-1,unknown,0,no
46,349,1,unknown,5,no,127,secondary,yes,employed,yes,married,may,-1,unknown,0,no
43,100,1,unknown,5,no,702,unknown,yes,employed,no,married,may,-1,unknown,0,no
38,0,1,unknown,5,no,151,secondary,no,employed,no,married,may,-1,unknown,0,no
43,434,1,unknown,5,no,117,secondary,yes,employed,no,married,may,-1,unknown,0,no
49,3237,3,unknown,5,no,232,tertiary,yes,employed,no,married,may,-1,unknown,0,no
42,275,2,unknown,5,no,408,unknown,no,employed,no,married,may,-1,unknown,0,no
22,0,2,unknown,5,no,179,secondary,yes,employed,no,single,may,-1,unknown,0,no
40,207,1,unknown,5,no,39,tertiary,yes,employed,no,married,may,-1,unknown,0,no
39,483,1,unknown,5,no,282,secondary,yes,employed,no,married,may,-1,unknown,0,no
51,2248,2,unknown,5,no,714,secondary,yes,employed,no,married,may,-1,unknown,0,no
49,428,1,unknown,5,no,50,secondary,yes,employed,no,married,may,-1,unknown,0,no
53,0,1,unknown,5,no,181,secondary,yes,employed,yes,married,may,-1,unknown,0,no
34,0,1,unknown,5,no,142,secondary,yes,employed,no,single,may,-1,unknown,0,no
33,140,1,unknown,5,no,227,secondary,yes,employed,no,divorced,may,-1,unknown,0,no
50,297,1,unknown,5,no,119,tertiary,yes,employed,no,single,may,-1,unknown,0,no
39,279,1,unknown,5,no,361,primary,yes,employed,no,married,may,-1,unknown,0,no
59,901,3,unknown,5,no,73,secondary,yes,employed,no,divorced,may,-1,unknown,0,no
30,2573,2,unknown,5,no,67,secondary,yes,employed,no,single,may,-1,unknown,0,no
36,143,1,unknown,5,no,350,secondary,yes,employed,yes,married,may,-1,unknown,0,no
40,475,2,unknown,5,no,332,secondary,yes,employed,no,married,may,-1,unknown,0,no
53,70,2,unknown,5,no,611,secondary,yes,employed,no,married,may,-1,unknown,0,no
34,318,2,unknown,5,no,113,tertiary,yes,employed,no,single,may,-1,unknown,0,no
37,275,1,unknown,5,no,132,secondary,yes,employed,no,married,may,-1,unknown,0,no
42,742,3,unknown,5,no,58,tertiary,yes,employed,no,divorced,may,-1,unknown,0,no
41,236,1,unknown,5,no,151,primary,yes,employed,no,married,may,-1,unknown,0,no
30,25,2,unknown,5,no,89,tertiary,yes,unemployed,no,single,may,-1,unknown,0,no
37,600,1,unknown,5,no,152,tertiary,yes,employed,no,single,may,-1,unknown,0,no
39,-349,2,unknown,5,no,611,secondary,yes,employed,no,divorced,may,-1,unknown,0,no
41,183,2,unknown,5,no,110,primary,yes,employed,yes,married,may,-1,unknown,0,no
40,0,1,unknown,5,no,463,primary,yes,employed,no,married,may,-1,unknown,0,no
42,0,2,unknown,5,no,562,tertiary,yes,employed,yes,single,may,-1,unknown,0,yes
40,0,1,unknown,5,no,962,primary,yes,employed,no,divorced,may,-1,unknown,0,no
57,1078,4,unknown,5,no,10,secondary,yes,employed,no,married,may,-1,unknown,0,no
56,155,3,unknown,5,no,118,secondary,no,employed,no,divorced,may,-1,unknown,0,no
37,190,2,unknown,5,no,92,secondary,yes,employed,no,married,may,-1,unknown,0,no
59,319,3,unknown,5,no,143,secondary,yes,unemployed,no,married,may,-1,unknown,0,no
39,-185,3,unknown,5,no,189,secondary,yes,employed,no,divorced,may,-1,unknown,0,no
49,47,2,unknown,5,no,234,secondary,no,employed,no,married,may,-1,unknown,0,no
38,570,2,unknown,5,no,75,secondary,yes,employed,no,single,may,-1,unknown,0,no
36,19,2,unknown,5,no,189,tertiary,no,employed,no,married,may,-1,unknown,0,no
50,61,3,unknown,5,no,621,primary,yes,employed,no,married,may,-1,unknown,0,no
41,-62,2,unknown,5,no,55,secondary,yes,employed,yes,married,may,-1,unknown,0,no
54,258,4,unknown,5,no,310,tertiary,no,employed,no,married,may,-1,unknown,0,no
58,76,2,unknown,5,no,156,primary,yes,employed,no,married,may,-1,unknown,0,no
30,0,2,unknown,5,no,5,secondary,yes,employed,no,single,may,-1,unknown,0,no
33,352,2,unknown,5,no,225,secondary,yes,employed,no,single,may,-1,unknown,0,no
47,368,2,unknown,5,no,125,secondary,yes,employed,no,married,may,-1,unknown,0,no
50,339,3,unknown,5,no,2,tertiary,yes,employed,no,single,may,-1,unknown,0,no
32,1331,2,unknown,5,no,286,secondary,yes,employed,no,married,may,-1,unknown,0,no
40,672,2,unknown,5,no,164,secondary,yes,employed,no,married,may,-1,unknown,0,no
37,58,2,unknown,5,no,98,tertiary,yes,employed,no,married,may,-1,unknown,0,no
54,447,2,unknown,5,no,742,unknown,yes,employed,no,single,may,-1,unknown,0,no
24,423,3,unknown,5,no,226,secondary,yes,unemployed,no,single,may,-1,unknown,0,no
54,0,2,unknown,5,no,120,tertiary,no,employed,no,married,may,-1,unknown,0,no
34,19,4,unknown,5,no,362,secondary,yes,employed,no,married,may,-1,unknown,0,no
56,13,2,unknown,5,no,357,primary,yes,employed,no,divorced,may,-1,unknown,0,no
31,3,2,unknown,5,no,200,secondary,yes,employed,no,single,may,-1,unknown,0,no
24,82,2,unknown,5,no,204,secondary,yes,unemployed,no,single,may,-1,unknown,0,no
42,28,3,unknown,5,no,126,primary,yes,employed,no,divorced,may,-1,unknown,0,no
57,792,2,unknown,5,no,65,secondary,yes,employed,no,married,may,-1,unknown,0,no
42,408,2,unknown,5,no,107,unknown,yes,employed,no,married,may,-1,unknown,0,no
51,531,2,unknown,5,no,267,secondary,yes,employed,no,married,may,-1,unknown,0,no
57,211,2,unknown,5,no,248,secondary,yes,unemployed,no,married,may,-1,unknown,0,no
36,62,2,unknown,5,no,215,secondary,yes,employed,no,single,may,-1,unknown,0,no
53,257,2,unknown,5,no,209,unknown,yes,employed,no,married,may,-1,unknown,0,no
50,1234,2,unknown,5,no,205,secondary,yes,employed,no,married,may,-1,unknown,0,no
54,313,2,unknown,5,no,83,tertiary,yes,employed,no,married,may,-1,unknown,0,no
55,89,3,unknown,5,no,106,secondary,yes,employed,no,married,may,-1,unknown,0,no
44,129,2,unknown,5,no,189,secondary,yes,employed,yes,married,may,-1,unknown,0,no
43,0,2,unknown,5,no,105,unknown,yes,employed,no,married,may,-1,unknown,0,no
56,353,2,unknown,5,no,106,secondary,yes,employed,no,married,may,-1,unknown,0,no
54,851,2,unknown,5,no,108,unknown,yes,employed,no,married,may,-1,unknown,0,no
55,96,2,unknown,5,no,311,primary,yes,employed,yes,divorced,may,-1,unknown,0,no
37,398,2,unknown,5,no,214,secondary,yes,employed,yes,divorced,may,-1,unknown,0,no
33,193,2,unknown,5,no,132,tertiary,no,employed,no,single,may,-1,unknown,0,no
46,-358,2,unknown,5,no,358,secondary,yes,employed,no,married,may,-1,unknown,0,no
36,539,2,unknown,5,no,453,secondary,yes,employed,yes,married,may,-1,unknown,0,no
